s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,qc,c,pred,mse,score
n,n,n,n,y,n,n,y,n,y,y,y,s6,0.788377639,0.224620253
n,n,n,y,y,n,n,y,n,y,n,n,s5,0.788655626,-0.090455006
n,n,n,n,n,n,y,n,n,y,y,n,s5,0.789031087,0.399281584
n,n,n,y,n,y,n,n,n,n,y,n,c,0.78907737,-0.071686942
n,n,n,n,n,y,y,y,n,n,n,y,s9,0.789302837,0.095660767
n,n,n,n,n,n,n,y,y,y,n,n,c,0.789335406,0.071316444
n,n,n,y,y,n,n,n,n,n,n,n,s5,0.790419003,0.244342427
n,n,n,y,n,y,y,n,n,n,n,n,s8,0.790432194,-0.039078804
n,n,n,n,n,y,y,n,y,y,n,y,s4,0.790706385,-0.001383365
n,n,n,y,y,n,n,y,n,n,y,n,s5,0.791671197,0.078611672
n,n,n,n,n,n,n,n,n,n,y,y,s9,0.791779312,0.17048985
n,n,n,y,n,y,y,n,n,n,y,n,s8,0.792236024,0.246774122
n,n,n,n,n,n,n,n,y,y,n,n,s1,0.792296238,0.167960305
n,n,n,n,y,y,y,y,n,n,n,n,s9,0.794181007,0.108149678
n,n,n,y,n,n,n,y,y,y,n,n,s5,0.794192209,0.215326691
n,n,n,n,y,n,n,y,n,y,y,n,s3,0.794489006,0.10038846
n,n,y,n,n,n,n,y,n,y,n,n,s3,0.795834205,0.054889299
n,y,n,n,n,y,n,n,n,n,n,n,c,0.796214937,0.090419179
n,n,y,n,y,n,n,n,n,n,n,n,s1,0.796258438,0.159910046
n,n,n,n,n,y,n,n,n,y,y,n,s6,0.79782317,0.180383442
n,n,n,y,n,y,y,n,n,n,n,n,s2,0.797909156,0.077730912
n,n,n,n,y,n,y,y,n,n,n,y,s5,0.798284041,-0.026695138
n,n,n,y,n,n,n,n,n,n,y,n,s4,0.798688061,0.137239999
n,n,n,n,y,y,n,n,y,n,n,y,s3,0.798814521,0.334734397
n,n,n,y,n,y,n,n,y,y,n,n,s7,0.798882146,0.353901197
n,n,n,n,n,n,n,n,y,n,y,n,s2,0.799409507,0.164366161
n,n,n,n,n,y,y,n,y,n,y,n,s7,0.799933471,0.147736788
n,n,n,y,n,y,n,n,y,n,y,n,s4,0.801054025,0.118481716
n,n,n,n,n,n,n,n,n,n,y,n,s1,0.801095853,0.115734134
n,n,n,n,n,y,y,y,y,y,n,n,c,0.801193277,0.057365202
n,n,n,y,n,y,n,n,y,n,n,n,s6,0.801298501,-0.232207775
n,n,n,n,n,y,n,y,n,y,n,y,s3,0.801507492,0.018939131
n,n,n,n,n,n,y,n,y,n,y,n,s5,0.801704688,-0.218424342
n,n,n,n,n,n,n,y,y,n,y,n,s3,0.802227136,-0.046155901
n,n,n,n,y,n,y,n,n,n,n,y,s2,0.802605923,0.305515059
n,n,n,n,n,y,n,n,n,n,y,y,s6,0.802864585,0.267018306
n,n,n,n,n,y,y,n,n,n,y,n,s2,0.803655989,0.279246608
n,n,n,n,y,n,y,y,n,n,n,n,s3,0.80426488,0.12783732
n,n,n,n,n,n,n,y,y,y,y,y,s4,0.804587482,0.071111111
n,n,n,n,y,y,n,n,n,n,y,n,s6,0.805784383,0.180756363
n,n,y,y,n,n,n,n,n,n,n,n,s4,0.806135967,0.110808105
n,n,n,y,n,n,n,y,n,y,n,n,s5,0.806837852,0.142485904
n,n,n,n,n,y,n,y,n,n,y,n,s8,0.808191256,0.338235685
n,y,n,n,n,n,y,n,n,n,n,n,s5,0.808483049,-0.042483686
n,n,y,y,n,n,n,n,y,n,n,n,s7,0.808635763,0.116726619
n,n,n,n,n,y,n,y,y,y,n,n,s3,0.808898557,0.331378062
n,n,n,y,n,n,n,n,n,n,y,n,s1,0.809484783,0.097692682
n,n,y,n,n,n,y,n,y,n,n,n,s3,0.809836824,-0.041884809
n,n,n,n,n,n,y,y,y,n,y,y,s4,0.810042998,0.057872604
n,n,n,n,y,y,n,n,y,y,y,n,s6,0.810483016,0.20074941
n,n,n,n,y,n,n,y,n,n,y,n,s9,0.810854974,0.32599605
n,n,n,n,n,n,n,y,n,y,y,y,s3,0.810951416,0.036936518
n,n,n,n,y,n,n,y,n,y,y,y,s5,0.811049688,0.254782609
n,n,n,n,y,n,n,y,y,y,n,n,s3,0.811776295,0.092974249
n,y,n,n,n,n,n,n,n,n,y,n,s0,0.812354163,0.292430165
n,n,y,n,y,n,n,y,n,n,n,n,s8,0.81253588,-0.096097323
n,n,n,y,y,n,n,n,y,n,n,y,s7,0.813052898,-0.019417622
n,n,n,y,n,n,n,n,y,n,n,y,s6,0.8130756,0.019358298
n,y,n,n,n,n,n,n,n,n,n,n,s3,0.813718032,0.170230122
n,n,n,n,n,y,y,n,y,n,n,y,s3,0.813752798,0.007335681
n,n,n,y,n,n,n,n,n,n,n,n,c,0.814007349,0.0457235
n,n,y,n,n,n,n,y,n,n,n,n,s6,0.814287203,0.194306919
n,n,n,n,n,n,n,n,n,y,y,n,s4,0.814371124,0.252168087
n,n,n,n,n,y,n,y,n,n,n,n,s9,0.814443949,0.180730744
n,n,n,y,n,n,y,y,y,n,n,n,s4,0.814676567,-0.002705625
n,y,n,n,n,n,y,n,n,n,n,n,s8,0.815372087,0.028881261
n,y,y,n,n,n,n,n,n,n,n,n,s6,0.815552046,0.224251736
n,n,n,y,n,y,y,n,n,n,n,y,s4,0.816927493,0.184518347
n,n,n,y,n,n,n,n,n,n,y,n,s7,0.817439633,0.06096919
n,n,n,y,n,n,n,n,n,n,n,n,s9,0.817481934,0.197399683
n,n,n,n,n,y,y,y,n,n,y,y,s8,0.818342666,0.011637153
n,n,n,y,n,n,n,n,y,n,n,n,c,0.819060685,0.195765422
n,n,y,n,n,y,n,y,n,n,n,n,s3,0.819856095,0.097985544
n,n,n,y,n,y,n,n,n,y,n,n,s4,0.820075763,0.011353669
n,n,y,n,n,n,n,n,y,n,n,n,s5,0.820083738,0.038857463
n,n,n,n,n,y,y,n,n,n,n,n,s4,0.8201873,-0.031081578
n,n,n,n,y,y,n,n,n,n,n,n,s6,0.820292756,0.128178695
n,n,n,n,y,y,n,n,n,y,y,n,c,0.820483763,-0.015664098
n,n,n,n,y,n,y,n,n,n,y,y,s9,0.8211519,0.063688761
n,n,n,n,y,n,y,y,y,y,n,n,s5,0.821807912,0.23932748
n,y,y,n,n,n,n,n,n,n,n,n,s7,0.821851911,0.238766701
n,n,n,n,n,n,y,n,y,y,n,n,s3,0.821925328,-0.045261132
n,n,n,y,n,n,n,n,n,n,y,n,s6,0.822078602,0.008499874
n,n,n,n,y,n,n,n,y,n,y,n,s7,0.822345962,-0.321057671
n,n,n,y,y,n,n,y,n,n,n,n,s6,0.822584664,0.190437847
n,n,n,y,n,n,n,n,n,y,n,y,s7,0.822684053,0.283958087
n,n,n,y,n,y,n,y,n,n,y,n,c,0.822684408,0.170157409
n,n,n,y,n,y,n,n,n,n,n,n,s6,0.822869088,0.297012088
n,n,n,n,n,y,y,n,n,y,n,n,s3,0.823138646,0.156429786
n,n,n,n,n,y,n,y,n,n,y,n,s2,0.823173209,0.097637439
n,n,n,n,y,n,y,y,n,n,y,y,s8,0.823668461,0.28624564
n,n,y,n,n,n,n,y,n,y,n,n,s6,0.823713183,0.325937245
n,n,n,y,y,y,n,n,n,n,y,n,s8,0.824323944,0.138951952
n,n,n,n,n,y,y,n,n,y,y,n,c,0.824558941,0.017911166
n,n,y,y,n,y,n,n,n,n,n,n,s4,0.825324716,0.087501585
n,n,n,y,n,n,n,n,y,y,n,n,s6,0.825483394,0.014856517
n,n,y,n,y,n,n,n,n,n,y,n,s6,0.82595228,-0.112513397
n,n,n,y,n,n,n,y,y,n,y,n,s5,0.826221506,0.11058465
n,n,n,n,y,n,y,n,n,n,y,y,s3,0.827175922,0.26141885
n,n,n,y,y,n,n,y,n,n,n,n,s5,0.827367224,0.210897946
n,y,n,n,n,n,y,n,n,n,n,n,s7,0.827517808,0.075223664
n,n,n,n,y,y,n,n,y,n,n,n,s9,0.827792157,0.288499691
n,n,n,n,y,n,n,y,y,n,y,n,s3,0.827938305,0.16521552
n,n,n,n,y,n,n,n,y,n,y,y,s3,0.828638051,0.047447736
n,n,n,n,n,n,y,y,y,y,n,n,s5,0.828860536,0.04419422
n,n,n,n,n,n,n,n,n,y,y,n,s6,0.829214504,0.219304495
n,n,n,y,y,y,n,n,n,y,n,n,s6,0.829893371,0.222631516
n,n,y,n,n,n,n,n,n,n,y,n,s0,0.830203255,0.210280555
n,n,n,n,n,y,n,n,y,n,y,n,s2,0.830291971,0.013456273
n,n,n,n,y,n,y,n,n,y,n,y,s3,0.830700677,0.148071968
n,n,n,n,y,y,n,y,y,n,n,y,s6,0.831345583,-0.087047444
n,n,n,n,n,y,n,n,n,n,y,y,s4,0.831371032,0.116149859
n,n,n,y,n,n,y,n,n,y,n,y,s7,0.831518681,0.299973274
n,n,n,n,n,y,y,n,n,y,n,n,s7,0.831848281,-0.194061444
n,n,n,n,y,n,y,n,n,y,n,n,s8,0.832193705,0.127193183
n,n,n,n,n,y,y,n,y,n,n,n,s4,0.832669101,-0.046772817
n,n,n,n,n,n,n,y,y,y,y,y,s6,0.832873545,0.212343227
n,n,n,n,n,n,n,y,n,y,n,n,s5,0.833764639,-0.118919494
n,n,n,n,y,n,y,n,n,y,y,n,s7,0.83500656,0.007521821
n,n,n,n,n,n,y,n,n,n,n,n,s8,0.835095471,0.124149803
n,n,n,n,n,n,n,n,y,n,n,y,s3,0.835258092,0.128457364
n,n,y,y,n,n,n,n,n,n,n,n,s5,0.836033448,0.167844062
n,n,n,y,n,y,n,n,y,n,n,n,s4,0.83607767,0.186558452
n,n,n,n,y,y,n,n,n,n,n,n,s2,0.836165502,0.148795732
n,n,n,n,n,n,n,n,y,n,n,n,s5,0.836275478,-0.026249655
n,n,n,n,y,n,n,y,n,n,n,n,s6,0.8366947,0.174900992
n,n,n,n,y,n,n,n,n,n,n,n,s8,0.837214895,-0.170234794
n,n,n,n,n,y,n,y,y,n,n,n,s6,0.838200868,0.300510628
n,n,n,n,y,n,n,n,n,n,y,n,s5,0.838422462,0.062775714
n,n,y,n,n,n,n,n,y,y,n,n,s4,0.840219041,0.152268751
n,n,n,y,n,n,y,n,n,n,n,n,s7,0.84064162,0.193197491
n,n,n,y,y,n,y,n,n,n,y,n,s5,0.84111962,0.078237033
n,n,n,y,n,n,y,y,y,n,n,n,c,0.841388879,0.056317121
n,n,y,y,n,n,n,y,n,n,n,n,s4,0.841476991,0.028522511
n,n,n,n,y,n,n,y,n,y,n,n,s5,0.842728535,0.104340983
n,n,n,n,y,n,n,n,n,n,n,n,s2,0.842730072,0.295581235
n,n,n,n,n,y,n,y,n,y,n,n,qc,0.842839797,-0.043093522
n,n,n,y,y,n,n,n,n,n,n,y,s5,0.843353481,0.018461128
n,n,n,n,n,n,n,n,n,y,n,n,qc,0.843479664,0.021377808
n,n,n,y,n,n,n,n,y,n,y,y,s6,0.843527393,-0.04031746
n,n,y,n,n,n,n,y,n,n,n,y,s4,0.843637893,-0.069137981
n,n,n,y,y,n,n,n,n,n,y,y,s5,0.843794518,0.221488971
n,n,y,n,n,n,y,n,n,n,n,n,s7,0.843801755,-0.103384687
n,n,n,n,n,n,y,n,n,n,n,n,s2,0.843944359,0.162765454
n,n,y,y,n,n,n,n,n,y,n,n,s6,0.844089756,0.314204629
n,n,n,y,y,n,n,n,n,y,y,n,s5,0.844637988,0.096572515
n,n,n,n,y,y,y,n,n,n,n,n,s3,0.844638577,-0.23242981
n,n,n,y,y,n,n,n,n,n,n,n,s1,0.845078772,0.214773153
n,n,y,n,n,n,n,n,n,n,y,y,s1,0.845989107,-0.38057554
n,n,n,n,n,y,n,y,n,n,y,y,s9,0.845992412,0.263793646
n,y,n,n,n,n,y,n,n,n,n,n,s3,0.846601312,-0.400379007
n,n,n,y,n,n,n,n,n,n,y,y,s6,0.847452872,0.204669421
n,n,n,n,n,n,n,y,n,n,y,y,s6,0.847501922,0.255281303
n,n,y,n,n,n,n,y,n,n,n,y,s8,0.84764445,0.172725319
n,y,n,y,n,n,n,n,n,n,n,n,s2,0.847776088,0.040852622
n,n,n,n,n,y,n,n,n,y,n,n,s1,0.847877377,0.110106069
n,n,n,y,n,y,y,y,n,n,n,n,s9,0.847879494,-0.066128619
n,y,n,n,n,n,n,y,n,n,n,n,qc,0.848162524,-0.215570103
n,n,n,n,y,n,y,n,n,n,n,y,s5,0.848427837,0.086189881
n,n,y,y,n,n,n,n,n,n,y,n,s5,0.848649985,0.019120291
n,n,n,y,n,n,y,n,n,y,n,y,s5,0.848689299,0.019074852
n,n,n,n,n,n,n,y,y,n,y,y,s3,0.848735521,0.08582654
n,n,n,n,n,y,n,n,n,y,y,n,s2,0.84896509,0.081751309
n,n,n,n,y,n,y,y,n,n,y,n,s5,0.849186176,0.262601844
n,n,n,n,n,y,n,y,n,n,n,n,c,0.849234846,0.072008974
n,n,n,n,y,n,y,n,n,n,n,n,s1,0.849518944,0.085100577
n,n,n,y,y,n,n,n,n,y,n,n,s7,0.849581815,0.184617174
n,n,n,n,n,y,y,n,n,n,n,n,s8,0.849712355,-0.115110306
n,n,n,n,y,y,y,n,n,n,y,y,s8,0.850488623,-0.133448276
n,n,n,n,n,y,n,n,n,n,n,n,s3,0.850605513,0.075489697
n,n,n,y,n,n,y,n,n,y,y,n,s7,0.851038381,0.133686744
n,n,y,y,n,n,y,n,n,n,n,n,s4,0.851411548,-0.163677624
n,n,n,y,n,n,n,y,y,n,n,n,qc,0.851692761,-0.19362388
n,n,n,y,n,y,n,n,n,y,n,n,s6,0.852577018,-0.007701791
n,n,n,y,n,y,y,n,n,n,n,n,qc,0.852616367,0.11271066
n,n,n,n,n,n,n,y,y,y,n,y,s3,0.852994738,-0.06681925
n,n,n,n,y,n,n,n,n,y,n,n,s3,0.854086575,0.088270534
n,n,n,n,y,n,n,y,y,y,n,n,s5,0.854217283,0.177080031
n,n,n,y,n,n,n,n,n,y,n,n,qc,0.854558249,-0.020373956
n,n,n,y,n,n,n,n,y,n,n,y,s2,0.854666002,-0.187649712
n,n,n,n,n,n,n,y,n,n,y,y,s8,0.854752674,0.107167605
n,n,n,y,n,n,y,n,n,n,n,y,s2,0.855010817,0.143145668
n,n,n,n,n,y,n,n,y,y,n,y,s3,0.855334706,0.140008287
n,y,n,n,n,n,y,n,n,n,n,n,s4,0.85546933,0.100194776
n,n,n,y,n,n,n,n,n,y,y,n,s6,0.855735961,0.062846486
n,n,y,n,n,n,n,n,y,n,n,y,s5,0.856634624,0.104727549
n,n,n,y,y,y,n,n,n,n,n,n,s6,0.857355082,0.088788214
n,n,n,n,n,y,n,n,n,y,n,y,s7,0.859360095,0.012813212
n,n,n,n,y,n,n,n,y,y,n,y,s7,0.859790997,-0.050787754
n,n,n,n,y,n,y,n,n,n,n,y,s7,0.859835978,-0.524174904
n,n,n,y,y,n,n,n,y,y,n,n,c,0.859979999,0.184236536
y,n,n,n,n,n,n,n,n,n,y,y,s2,0.860080243,0.146757859
n,n,n,n,n,y,n,y,y,y,n,y,s6,0.860115721,-0.15747363
n,n,n,n,n,y,n,n,y,n,n,y,s2,0.860172717,-0.082613489
n,y,n,n,n,y,n,n,n,n,n,n,s6,0.86018858,-0.068902466
n,y,n,n,n,y,n,n,n,n,n,n,s7,0.860772302,0.038060755
n,n,n,n,n,n,n,y,n,n,n,y,s5,0.861376612,0.219612542
n,n,n,n,n,n,n,n,y,n,y,n,s7,0.861586657,-0.091921561
n,n,y,y,n,n,y,n,n,n,n,n,s7,0.861705886,0.031755247
n,n,y,n,n,n,n,n,n,n,n,n,s9,0.861749591,-0.022889099
n,n,n,y,n,y,n,n,y,y,n,n,s4,0.861785208,-0.057227525
n,n,n,n,n,n,n,y,n,n,n,y,s3,0.861974137,0.243520235
n,n,n,n,y,y,n,n,n,n,y,n,s2,0.862585832,0.238454798
n,n,y,y,n,n,n,n,n,n,n,y,s4,0.862636849,0.177316711
n,n,n,n,n,n,n,y,y,n,n,y,s3,0.862971822,0.16563411
n,n,n,n,n,n,y,n,n,n,y,n,s8,0.863177809,0.249484446
n,n,n,y,n,y,n,y,y,n,n,n,s6,0.863510335,0.157462074
n,n,n,n,n,n,n,n,n,n,y,n,s8,0.863524962,0.098004506
n,n,n,n,y,n,y,y,n,n,n,y,s9,0.863612182,0.095233912
n,n,n,n,n,y,y,n,y,n,n,n,s3,0.863640379,-0.050841732
n,n,n,y,y,n,y,n,n,n,n,n,s8,0.864313813,0.17316037
n,n,n,n,n,y,y,n,y,y,n,y,s7,0.864526353,0.074121094
n,n,n,n,y,y,n,n,y,n,y,n,c,0.864577704,0.036412539
n,n,n,y,n,y,n,n,y,n,n,n,s7,0.864808785,-0.050675482
n,n,n,n,y,y,n,y,n,n,y,n,s8,0.865240395,0.177364528
n,n,n,y,y,n,n,n,n,n,y,n,s2,0.865325657,0.186871803
n,y,y,n,n,n,n,n,n,n,n,n,s8,0.865616621,-0.007670857
n,n,n,y,y,n,y,n,n,n,y,n,s8,0.865920321,0.16438427
n,n,n,n,y,y,n,y,n,n,n,y,s3,0.86599065,0.0194261
n,n,n,n,n,y,y,n,n,y,n,n,s2,0.866028115,0.027852917
n,n,n,n,n,y,n,y,y,y,n,n,qc,0.866386104,-0.355599306
n,y,n,n,n,n,n,y,n,n,n,n,s2,0.866965121,0.291793629
n,n,y,n,y,n,n,n,n,n,n,n,s3,0.867059123,0.115836796
n,n,n,n,y,y,n,n,y,y,n,n,s7,0.867426949,0.178986482
n,n,y,y,y,n,n,n,n,n,n,n,s6,0.867864944,0.120062921
n,n,n,n,y,n,n,n,y,y,y,n,s5,0.868318688,0.020631554
n,n,n,y,y,n,n,y,n,n,n,n,s2,0.868457285,0.170161011
n,n,y,n,n,n,n,n,y,n,n,n,qc,0.868558232,-0.252335083
n,n,n,n,y,n,n,n,y,n,y,y,s7,0.869492904,0.209767956
n,n,y,n,n,n,n,y,n,n,y,n,s6,0.869527039,0.250646784
n,y,n,n,n,n,y,n,n,n,n,n,s2,0.870114102,0.0572396
n,y,n,n,n,n,n,n,n,n,n,y,s4,0.870687535,-0.041648916
n,n,n,n,n,n,y,n,n,y,y,y,s3,0.870749261,0.181806283
n,n,y,n,n,n,n,n,n,n,n,n,s6,0.871464161,0.342615359
n,n,y,n,n,y,n,n,n,n,n,n,s4,0.8718878,0.136984531
n,n,n,y,n,n,n,y,n,y,n,y,s5,0.872026817,0.310739984
n,n,n,n,n,n,n,y,n,y,n,y,s3,0.87231593,0.077045407
n,n,n,n,y,y,n,n,y,n,n,n,s6,0.872408057,0.080731498
n,n,y,n,n,y,n,n,n,y,n,n,s3,0.872501148,0.053840397
n,n,n,n,y,n,n,y,n,n,n,n,s2,0.872988962,0.229270258
n,n,n,n,n,n,n,y,n,n,n,n,s6,0.873729282,0.180009133
n,n,n,y,n,y,n,n,n,n,n,y,s7,0.873946786,0.205720078
n,n,n,n,n,y,y,n,n,n,n,n,c,0.874217384,0.037532558
n,n,n,y,y,n,n,n,n,n,n,n,s9,0.874336871,0.247949212
n,n,n,n,n,n,y,y,n,n,n,n,s1,0.874385766,0.11306268
n,n,n,n,y,n,n,y,n,y,n,y,s5,0.874689959,0.194833983
n,n,n,n,y,n,n,y,y,y,n,y,s5,0.875237441,-0.07867786
n,y,n,y,n,n,n,n,n,n,n,n,c,0.875871994,0.26743636
n,n,n,n,y,n,n,n,n,n,y,y,s6,0.876377284,0.30293386
n,n,n,n,n,n,y,n,n,y,n,n,s4,0.876772544,0.083935576
n,n,n,n,y,y,y,y,n,n,y,n,s8,0.877035667,0.22700114
n,n,y,n,n,n,n,n,y,n,n,n,s4,0.877122346,0.163502118
n,n,y,n,n,n,y,n,y,n,n,n,s4,0.877347979,0.178696783
n,n,n,y,y,n,n,y,n,n,n,y,s6,0.877611213,0.122238247
n,n,n,n,n,n,y,y,n,y,y,n,s3,0.877676999,0.159902218
n,n,y,n,n,n,y,n,n,n,y,n,s3,0.879303616,-0.146668599
y,n,n,n,n,n,n,n,n,n,n,n,s4,0.879882517,0.015020964
n,n,n,y,y,n,n,y,y,n,n,n,s5,0.880150267,0.18532529
n,n,n,n,y,n,n,n,n,n,n,y,s3,0.880423224,0.06502246
n,y,n,n,n,n,n,n,n,n,n,y,qc,0.880521428,-0.349938967
n,n,n,n,n,n,y,y,n,n,y,y,s9,0.880697418,0.2533
n,n,n,n,n,n,n,n,n,n,y,n,s6,0.881184186,0.148657748
n,n,n,n,n,y,n,y,y,n,y,n,s6,0.882484371,0.271788506
n,n,n,y,n,y,n,n,n,n,y,n,s6,0.882723324,0.033291456
n,n,n,n,y,n,n,y,n,n,y,n,s8,0.882997007,0.07766497
n,n,n,n,y,n,n,y,n,y,n,n,qc,0.883136571,-0.140303816
n,n,y,n,y,n,n,y,n,n,n,n,c,0.884329279,-0.01351036
n,n,n,n,y,y,y,y,y,n,n,n,qc,0.8844875,-0.030195129
n,n,n,y,n,y,y,n,n,n,n,n,s4,0.884553189,0.194407383
n,n,y,n,n,n,y,n,n,n,y,n,s7,0.884964866,0.161421975
n,n,n,n,y,n,n,y,n,y,n,y,s3,0.885173677,0.040822479
n,n,n,y,n,n,n,y,n,n,n,n,s6,0.885787361,-0.126310433
n,n,n,n,n,n,n,n,n,n,y,y,s8,0.885857369,0.15255088
n,n,n,y,n,n,n,y,n,n,n,n,s4,0.886454296,0.159715675
n,n,n,n,n,y,n,y,y,y,n,n,s6,0.886588884,0.078937605
n,n,n,n,n,y,y,n,y,y,y,n,s4,0.88702638,0.147137014
n,n,n,y,y,y,n,y,n,n,n,n,s9,0.887062936,0.117405018
n,n,y,y,n,n,n,n,n,n,y,n,s7,0.88770359,-0.140841146
n,n,n,n,n,n,n,y,n,y,y,n,s2,0.888049175,0.10038877
n,n,y,n,y,n,n,y,n,n,n,n,s9,0.888687919,0.112066789
n,n,y,n,y,n,n,n,n,n,y,n,s5,0.888959722,0.100445713
n,n,y,n,n,n,n,n,y,y,n,n,s5,0.889542261,-0.002742973
n,n,n,n,y,n,y,y,n,n,n,n,c,0.890251961,-0.182270558
n,n,y,n,n,n,n,n,n,y,y,n,s7,0.890704097,0.207136085
n,n,n,n,n,n,n,y,y,y,n,y,s5,0.890834564,0.222738061
n,n,y,n,n,n,n,n,n,y,n,n,s7,0.890974122,0.206895721
n,n,n,y,n,n,y,n,n,n,n,n,s9,0.891127537,0.17684011
n,n,n,n,n,n,n,n,y,n,y,y,s1,0.891160575,0.10207008
n,n,y,n,n,n,n,n,n,n,n,n,s1,0.891204416,0.044742266
n,n,n,n,n,y,n,n,n,n,n,n,s7,0.891225491,0.163201935
n,y,n,n,n,n,n,y,n,n,n,n,s4,0.891618599,0.095069386
n,n,n,n,n,y,n,n,n,y,y,y,s7,0.891669131,0.02989418
n,n,n,n,n,n,n,n,n,y,y,n,s1,0.891833037,0.015576588
n,n,n,n,n,n,n,y,n,y,n,n,s2,0.892422551,0.207621542
n,n,n,y,n,y,n,n,n,n,n,n,s9,0.892908493,-0.104035872
n,n,n,y,n,n,y,y,n,n,n,y,s4,0.893124968,0.003163559
n,y,n,n,n,n,n,n,n,n,n,y,s3,0.894319323,-0.031358477
n,n,n,n,n,n,n,y,n,y,n,n,s1,0.894626877,0.09606792
n,n,n,y,y,n,n,n,y,n,n,n,c,0.894891721,-0.101356263
n,n,n,n,n,n,y,n,y,n,n,n,s4,0.895074098,-0.068106005
n,n,n,n,n,y,y,n,y,n,y,y,s7,0.895365169,0.210675241
n,n,n,n,n,n,n,n,y,y,n,n,s7,0.895369815,0.3032698
n,n,y,n,n,n,n,n,n,n,y,n,s1,0.895458825,0.124476435
n,n,n,n,y,n,n,y,n,n,n,n,c,0.895498664,-0.026311346
n,y,n,n,n,n,n,n,n,n,n,n,s7,0.896030821,0.021264939
n,n,n,n,y,y,y,n,n,n,y,y,s9,0.89638414,0.257501745
n,n,n,y,n,n,n,n,y,n,y,y,s7,0.896751183,0.216174283
n,n,n,y,n,n,n,n,n,n,y,n,s2,0.897149985,0.229415291
n,n,n,y,n,n,y,n,n,n,y,n,s2,0.897211126,-0.215149711
n,n,n,n,y,n,n,n,n,y,n,n,s7,0.897335612,0.261939305
n,n,n,n,y,n,n,n,y,n,n,n,s5,0.898075473,-0.35361629
n,n,n,n,y,y,n,n,y,n,y,y,s7,0.899523211,0.257168675
n,n,n,n,n,n,y,n,y,y,y,n,s3,0.899892315,0.136334982
n,n,n,n,n,y,n,n,n,y,n,n,s3,0.899974563,-0.15785032
n,n,n,n,n,n,n,n,y,y,y,n,s3,0.901652321,-0.046539886
n,n,n,n,n,y,y,y,n,n,y,n,s9,0.901747594,0.29395358
n,n,n,n,y,y,y,n,y,n,n,y,s7,0.901802563,-0.035942419
n,n,y,n,n,n,n,n,n,y,y,n,s3,0.902192052,-0.10524298
n,n,n,y,y,y,n,n,n,n,y,n,s6,0.90219685,0.073158683
n,y,y,n,n,n,n,n,n,n,n,n,s9,0.902956199,0.274339217
n,n,n,y,n,n,y,n,n,n,n,n,s2,0.902991245,0.198237641
n,n,n,n,n,y,n,n,y,n,y,y,s4,0.903690398,0.225016213
n,n,n,n,y,y,n,n,n,n,n,y,s6,0.903815496,-0.123114903
n,n,n,y,y,n,n,n,y,n,n,y,s5,0.903916688,0.07079161
n,n,n,n,n,n,y,y,y,n,n,y,s3,0.903985621,0.031403035
n,n,n,n,n,n,n,n,y,n,n,n,s0,0.904131129,0.127715085
n,n,n,n,y,y,n,n,y,y,n,y,s6,0.904182267,0.216665522
n,n,n,n,n,y,y,n,y,n,n,y,s7,0.904207638,0.122980009
n,n,n,n,y,n,y,n,n,y,n,n,s2,0.904498948,0.083724827
n,n,n,y,n,y,n,n,n,y,n,y,s6,0.904639727,0.051507615
n,n,n,n,n,n,n,n,y,n,y,n,s6,0.90519597,0.149937384
n,n,n,n,n,n,n,n,y,y,n,n,s2,0.905838814,0.09992986
n,n,y,n,n,n,n,n,n,n,n,n,s5,0.9058452,0.068809138
n,n,n,n,y,n,n,y,n,y,n,y,qc,0.906268848,-0.626817046
n,n,n,y,n,n,n,n,n,n,y,n,s8,0.906503705,-0.390273479
n,n,n,n,y,n,n,y,n,n,y,y,s6,0.906592456,0.093252033
n,n,y,n,n,y,n,n,n,y,n,n,s7,0.906901597,0.159990158
n,n,n,n,n,n,n,y,n,n,y,n,s6,0.907593397,-0.090185225
n,n,n,n,n,y,y,n,n,n,n,n,qc,0.907744478,-0.032080393
n,n,n,n,y,n,n,n,n,n,y,n,s2,0.908392499,0.044566785
n,n,n,n,n,n,n,n,y,y,y,n,s5,0.908767346,-0.106417456
n,n,y,n,n,n,n,n,n,n,n,y,s4,0.909336697,-0.343407891
n,n,n,n,y,y,n,y,y,y,n,n,c,0.910470287,0.087455957
n,n,n,n,y,n,y,n,y,n,n,y,s9,0.910867947,0.236446222
n,n,n,n,y,n,n,y,y,y,y,n,s5,0.911009032,0.041413577
n,n,n,y,n,y,n,y,n,n,n,n,s4,0.911447303,-0.007717571
n,n,n,n,y,n,n,n,y,y,n,y,s3,0.911874079,0.098315439
n,n,n,n,y,y,n,n,y,y,n,n,s6,0.91192581,0.103109007
n,n,n,n,n,n,n,n,n,n,n,y,s0,0.912372994,0.027152606
n,n,n,n,n,y,y,n,n,n,y,n,s4,0.91308791,0.230983869
n,n,n,n,y,n,n,y,n,n,y,y,s5,0.913206407,0.151206276
n,n,n,n,y,n,n,y,n,n,n,n,s5,0.913244013,0.096367696
n,n,y,n,n,n,n,n,n,n,n,n,s0,0.91354824,0.054713504
n,n,n,n,n,n,n,n,n,n,y,n,s7,0.913734641,0.052271204
n,n,n,n,n,y,n,n,n,n,n,n,s8,0.914169626,-0.201740376
n,n,n,n,y,n,n,y,n,n,n,n,s8,0.915424068,0.250431161
