s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,qc,c,pred,mse,score
n,n,n,n,y,y,n,y,y,n,n,n,s9,0.488799872,0.548481635
n,n,y,n,n,n,y,n,n,n,y,n,s4,0.489177874,0.504588045
n,n,n,n,n,n,n,n,y,n,y,n,s4,0.489313117,0.391781661
n,n,n,n,n,n,n,n,y,n,y,y,s9,0.490201184,0.578359098
n,n,n,n,n,n,y,y,n,y,y,n,s8,0.491926006,0.129879227
n,n,y,y,n,n,n,n,n,n,y,n,s4,0.493017446,0.607783016
y,n,n,n,n,n,n,n,n,n,n,n,s9,0.493406663,0.379587585
n,n,y,n,y,n,y,n,n,n,n,n,s5,0.494560875,0.302736826
n,n,y,n,n,n,n,y,n,y,n,n,s8,0.494763598,0.321921731
n,n,n,n,n,n,y,y,y,n,n,y,s9,0.495386184,0.570161555
n,n,n,y,n,y,n,y,n,n,n,n,s6,0.495869155,0.438628513
n,n,n,n,y,n,n,n,n,y,y,n,s8,0.496955727,0.569842566
n,n,n,y,n,n,n,n,y,n,n,y,s9,0.49727775,0.565022649
n,n,n,n,n,y,n,n,n,y,y,y,s3,0.498335596,0.270644467
n,n,n,n,n,n,y,y,n,y,y,y,s5,0.499689889,0.43
n,n,n,n,n,n,n,y,y,n,n,n,s9,0.500990769,0.607736421
n,y,n,n,n,y,n,n,n,n,n,n,s2,0.501911447,0.55435481
n,n,n,n,n,n,n,y,n,n,y,y,s9,0.502635401,0.340747238
n,n,n,y,n,n,n,n,y,n,y,n,s4,0.503139649,0.516238533
n,n,n,y,n,n,n,n,n,y,y,y,s4,0.503927971,0.470251537
n,n,n,n,n,y,n,n,y,n,y,n,s9,0.504876362,0.497245176
n,n,n,y,n,n,n,n,n,y,y,y,s8,0.504885443,0.409591528
n,n,n,n,y,y,n,n,n,y,y,y,s7,0.50589518,0.358859784
n,n,n,n,y,n,y,y,y,n,n,y,s5,0.506798272,0.409819541
n,n,n,y,n,n,n,y,y,n,n,y,s9,0.508342067,0.485155707
n,n,n,y,y,n,n,n,n,y,n,y,s7,0.509005135,0.416097706
n,n,n,y,n,n,n,n,y,n,y,n,s7,0.50915859,0.177241332
n,n,n,n,n,y,n,n,n,y,n,y,s8,0.509547759,0.58321289
n,n,n,n,y,n,n,y,n,y,n,y,s8,0.510665876,0.429583689
n,n,n,y,n,n,n,n,n,n,n,n,s5,0.513933309,0.241884105
n,n,n,y,y,n,y,n,y,n,n,n,s7,0.514166183,0.435376609
n,n,n,n,y,y,n,n,y,n,n,y,s9,0.515755335,0.301941854
n,n,n,n,n,y,n,y,n,n,y,n,s4,0.517640454,0.465105168
n,n,n,n,n,n,y,n,y,y,y,y,s5,0.517860431,0.503258481
n,n,n,n,y,y,y,n,n,y,y,n,s8,0.518049717,0.58287963
n,n,n,n,n,n,y,y,n,y,y,n,s4,0.518094182,0.320054497
n,n,y,n,n,n,n,n,y,n,n,y,s7,0.518614358,-0.013210343
n,n,n,n,n,n,y,n,y,n,n,n,s7,0.518647198,0.161908516
n,n,n,n,n,n,y,y,n,y,n,n,s8,0.519480407,0.451446131
n,n,n,y,n,n,n,y,n,n,y,n,s4,0.520861907,0.45122293
n,y,n,n,n,n,n,n,n,n,y,n,s3,0.521434878,0.350682437
n,n,n,y,n,y,n,n,n,n,y,n,s2,0.522425213,0.210651745
n,n,n,n,n,y,n,n,y,y,y,y,s6,0.522539093,0.571682399
n,n,y,n,y,n,n,n,n,n,y,n,s7,0.524050555,-0.07489486
n,n,n,n,y,n,y,n,y,y,y,n,s7,0.524490871,0.335292758
n,n,n,n,y,n,n,y,n,n,n,y,s5,0.5246992,0.393546447
n,n,y,n,n,n,y,n,n,n,n,y,s5,0.524926686,0.338023535
n,n,n,n,n,y,y,n,n,n,n,n,s7,0.525016855,0.235703322
n,n,n,y,n,n,y,n,n,n,y,n,s4,0.525927224,0.46937058
n,n,n,n,y,y,n,y,n,n,n,y,s8,0.527955151,0.377908333
n,n,y,n,y,n,n,n,n,n,y,n,s8,0.528819544,0.436192716
n,n,n,n,n,n,n,y,y,y,y,n,s5,0.530300873,0.389532114
n,n,n,y,n,y,n,n,y,n,n,y,s7,0.533563232,0.446586332
n,n,n,y,n,n,n,y,n,y,n,n,s8,0.533740543,0.570245778
n,n,n,n,y,n,y,n,n,n,n,n,s5,0.534334395,0.352201766
n,n,n,n,y,n,y,y,n,y,n,y,s8,0.535829682,0.292001899
n,n,n,n,y,n,y,y,n,n,y,n,s9,0.536375283,0.501040212
n,n,n,n,n,n,y,y,n,n,y,y,s8,0.536840217,0.530588235
n,n,y,y,n,y,n,n,n,n,n,n,s6,0.539776751,0.393109561
n,n,n,n,n,n,y,n,n,y,n,n,s8,0.539816579,0.548907426
n,n,n,n,y,y,y,n,y,n,n,y,s9,0.539827429,0.261785305
n,n,n,n,n,y,n,n,n,y,y,y,s8,0.540281501,0.286119658
n,n,n,y,n,y,n,y,n,n,y,n,s4,0.540669947,0.327944898
n,n,n,n,y,n,y,n,n,n,y,n,s9,0.541610593,0.513333115
n,n,n,n,y,y,y,n,y,n,n,n,s9,0.54182793,0.362591741
n,n,n,n,y,n,y,n,n,n,y,n,s3,0.54255766,0.451414992
n,n,n,n,y,y,n,y,n,y,n,n,s8,0.54308962,0.527794618
n,n,n,y,n,n,y,n,n,y,y,n,s5,0.544012448,0.398908106
n,y,n,n,n,y,n,n,n,n,n,n,s3,0.544146885,0.231787138
n,n,n,n,y,y,y,n,n,n,y,n,s3,0.54424402,0.300436934
n,n,n,n,n,n,n,y,y,n,y,n,s9,0.546139467,0.570402459
n,n,n,n,y,n,y,y,n,y,n,n,s8,0.54726953,0.524160271
n,n,n,n,n,n,y,n,y,y,y,n,s7,0.548028363,0.249992273
n,n,n,n,n,n,n,y,y,n,n,y,s9,0.548871692,0.492991583
n,n,n,n,y,n,y,n,y,n,y,n,s9,0.548969658,0.453337164
n,n,n,n,y,n,y,y,y,n,y,n,s9,0.549995697,0.485141956
n,n,n,n,n,n,y,n,n,y,n,n,s7,0.551041228,-0.039524617
n,n,n,y,n,n,y,n,y,n,y,n,s9,0.551196212,0.471087308
n,n,n,y,y,n,y,y,n,n,n,n,s8,0.552495771,0.269980799
n,n,n,n,n,y,n,y,n,n,y,y,s8,0.552571799,0.254589878
n,n,n,n,n,n,y,n,n,y,y,y,s5,0.553402346,0.409337823
n,n,n,n,y,n,y,n,n,n,y,n,s2,0.55345652,0.34238909
n,n,n,n,n,y,n,n,y,n,y,n,s3,0.554180076,0.489950073
n,n,y,n,n,n,n,y,n,n,y,n,s9,0.55491336,0.25908074
n,n,n,n,n,y,n,y,n,y,y,n,s4,0.555553714,0.45948745
n,n,n,y,y,n,y,n,y,n,n,n,s5,0.556250591,0.335265583
n,n,n,n,n,y,n,n,y,n,n,y,s9,0.556812912,0.501183417
n,n,n,y,n,n,y,y,n,n,y,n,s8,0.556914371,0.509148613
n,n,y,n,n,n,n,n,n,n,n,n,s4,0.557467102,0.220513605
n,n,n,n,n,n,y,y,y,n,y,n,s9,0.559096752,0.333691897
n,n,n,y,y,n,n,n,y,n,n,y,s9,0.559196486,0.459477806
n,n,n,n,n,y,n,y,y,n,y,n,s4,0.559966973,0.43502649
n,n,y,n,n,n,n,n,n,n,y,n,s8,0.562750624,0.405754235
n,n,y,n,n,y,n,n,n,n,n,n,s6,0.562985754,0.41635568
n,n,n,y,n,n,n,n,n,n,y,y,s4,0.563130415,0.491081211
n,n,n,y,y,n,n,n,y,n,n,n,s9,0.563651876,0.349805867
n,n,n,y,n,n,y,n,y,n,y,n,s7,0.564110985,0.066433322
n,n,n,y,n,n,y,y,n,n,y,n,s5,0.56415346,0.497060401
n,n,n,n,y,n,y,n,n,y,n,y,s5,0.56451093,0.349030643
n,n,n,n,n,y,n,n,y,n,y,y,s9,0.564722008,0.382193548
n,n,n,y,n,y,n,y,y,n,n,n,s9,0.565427544,0.451668738
n,n,n,y,n,n,y,n,y,n,n,y,s5,0.566059793,0.209152945
n,n,n,y,n,n,y,n,n,y,y,n,s4,0.566294221,0.506254028
n,n,n,n,n,n,n,n,y,y,n,y,s7,0.567942931,0.184756677
n,n,n,n,y,y,n,n,n,y,n,y,s3,0.568261599,0.184104217
n,n,n,n,n,n,n,y,n,n,y,y,s5,0.568729798,0.125051618
n,n,n,n,n,n,y,y,n,n,y,n,s4,0.568853162,0.240722091
n,n,y,n,n,n,y,n,n,n,y,n,s9,0.5700691,0.283950317
n,n,n,y,n,n,y,n,y,n,n,n,s9,0.570174588,0.368664026
n,n,n,n,n,y,n,n,n,y,y,n,s4,0.57272111,0.428292521
n,n,y,n,n,n,n,y,n,n,n,y,s6,0.573355585,0.440569724
n,n,y,y,n,y,n,n,n,n,n,n,s7,0.573778252,0.063623038
n,n,n,n,y,y,n,y,n,n,y,y,s8,0.575185947,0.233448276
n,n,n,y,n,y,y,n,y,n,n,n,s7,0.575228686,0.417331312
n,n,n,n,y,y,n,n,n,n,y,y,s3,0.575382643,0.357105058
n,n,n,n,n,y,n,n,n,n,n,n,s6,0.576183504,0.460626042
n,n,n,n,n,n,y,y,n,n,y,y,s5,0.576725414,0.423376494
n,n,n,n,y,y,y,n,y,n,y,n,s7,0.577043909,0.33804742
n,n,n,n,y,n,n,n,n,n,y,y,s7,0.57715941,0.058105159
n,n,n,n,n,n,y,n,y,n,y,n,s9,0.577745901,0.291550367
n,n,n,n,y,n,y,y,n,y,n,n,s5,0.580186156,0.404494917
n,n,n,y,y,y,n,n,y,n,n,n,s9,0.581406508,0.213085117
n,n,y,n,n,y,n,y,n,n,n,n,s6,0.584853168,0.348383886
n,n,n,n,y,y,y,y,n,n,n,n,qc,0.585145632,0.267410258
n,n,y,n,n,n,y,n,n,y,n,n,s8,0.585588797,0.23150923
n,n,n,y,n,n,y,y,n,n,n,n,s2,0.585612032,0.231375496
n,n,n,n,n,n,y,n,n,y,y,n,s2,0.586333286,0.429531841
n,n,n,y,n,n,n,y,n,y,n,y,s8,0.587326031,0.433228603
n,n,n,y,y,n,y,n,n,n,n,n,s9,0.587643174,0.057395649
n,n,n,n,n,n,n,n,y,y,y,y,s3,0.587684365,0.267549908
n,n,n,n,y,n,n,y,y,n,n,n,s6,0.588358773,0.25953409
n,n,n,n,y,n,n,y,y,n,n,n,s3,0.588384551,0.232708615
n,n,n,n,n,y,y,n,y,n,n,y,s9,0.589670833,0.455304254
n,n,n,n,n,n,n,n,n,y,y,n,s0,0.590940639,0.471269348
n,n,n,n,y,n,y,n,n,y,n,n,s3,0.59229848,-0.030796772
n,n,n,n,n,n,n,y,n,y,y,y,s4,0.592431696,0.396116037
n,n,n,n,n,y,n,n,n,n,y,n,s9,0.592719182,0.488697387
