s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,qc,pred,mse,score,,
-,-,+,-,-,+,-,+,-,-,-,s6,0.603382599,0.426066055,3,
-,-,-,-,+,-,+,-,+,+,-,s3,0.421188409,0.425705815,4,
-,-,+,+,-,-,-,-,-,+,-,s4,0.654502337,0.423735941,3,
-,-,-,+,+,-,+,-,-,-,+,s7,0.610583399,0.422087099,4,
-,-,-,+,-,-,-,+,-,+,+,s5,0.628019405,0.42189815,4,
-,-,-,-,-,+,+,+,+,-,-,s9,0.433300351,0.421458198,4,
-,-,-,+,-,+,-,+,-,+,-,s8,0.497236888,0.421162777,4,
-,-,-,+,-,-,-,+,+,+,-,s5,0.632333905,0.418992165,4,
-,-,-,-,+,-,-,-,+,+,-,s7,0.452947814,0.417889587,3,
-,-,-,+,-,+,-,-,-,+,+,s4,0.600572361,0.41779599,4,
-,-,+,-,-,-,-,-,+,-,-,s9,0.701172624,0.4171669,2,
-,-,-,-,-,-,-,-,-,-,+,s4,0.598272433,0.414289233,1,
-,-,-,-,+,+,-,-,+,-,+,s9,0.535689655,0.413954972,4,
-,-,-,-,-,+,+,-,+,-,-,s9,0.529878585,0.413282494,3,
-,-,-,-,-,-,-,-,+,+,+,s2,0.5358478,0.412258868,3,
-,+,-,-,-,-,-,-,-,-,-,s0,0.657094291,0.412079877,1,
-,-,-,-,-,-,-,-,-,+,-,s8,0.563628314,0.412056241,1,
-,-,-,-,+,+,+,-,+,-,+,s9,0.472522497,0.411458552,5,
-,-,-,-,-,-,-,-,-,+,+,s4,0.546119191,0.411085106,2,
-,-,-,-,-,+,+,-,+,-,+,s4,0.593236778,0.410628632,4,
+,-,-,-,-,-,-,-,-,-,-,s1,0.471982667,0.410125497,1,
-,-,-,-,-,-,-,+,-,-,+,s9,0.593974019,0.408521916,2,
-,-,-,-,+,+,-,-,+,-,-,s6,0.476504301,0.407877953,3,
-,-,-,+,+,-,+,-,-,-,+,s9,0.710007469,0.406498204,4,
-,-,+,-,-,-,-,-,-,-,+,s8,0.627470377,0.405619901,2,
-,-,-,+,-,-,-,+,-,+,-,s4,0.668962331,0.402046367,3,
-,-,-,+,-,-,+,+,-,+,-,s5,0.584004187,0.400882375,4,
-,-,-,+,+,-,-,+,+,-,-,s9,0.554697907,0.399250474,4,
-,-,-,-,-,-,-,+,-,+,+,s5,0.651814338,0.398615848,3,
-,-,+,-,+,-,+,-,-,-,-,s3,0.483328227,0.397612349,3,
-,-,-,-,+,-,+,-,+,-,-,s9,0.564643989,0.397277525,3,
-,-,-,-,-,+,+,+,-,-,+,s3,0.535822513,0.397084204,4,
-,-,-,+,-,+,-,-,+,+,-,s7,0.73703552,0.393786516,4,
-,-,-,+,-,+,-,-,+,-,+,s6,0.723537817,0.393110792,4,
-,-,-,+,-,-,+,-,+,-,+,s4,0.549513853,0.392444562,4,
-,-,-,+,+,+,-,-,+,-,-,s6,0.554058097,0.391873584,4,
-,-,-,-,+,+,+,+,-,-,+,s8,0.675853097,0.390417237,5,
-,-,-,-,+,-,+,-,+,-,+,s7,0.763671362,0.388986841,4,
-,-,-,+,-,-,-,+,-,+,+,s8,0.667800717,0.388402607,4,
-,-,-,-,-,-,-,+,-,-,+,s4,0.713624761,0.388012066,2,
-,-,-,-,+,+,-,+,-,-,+,s8,0.71677018,0.387801105,4,
-,-,-,-,-,+,+,-,+,-,-,s7,0.551184298,0.387364313,3,
-,-,-,-,+,+,-,-,+,+,-,s3,0.653828378,0.387238627,4,
-,-,-,-,-,-,+,-,-,+,+,s2,0.595184209,0.383363695,3,
-,-,-,+,-,-,-,+,+,-,-,s5,0.712205877,0.378593351,3,
-,-,-,-,+,-,-,-,-,+,+,s3,0.606844469,0.377648498,3,
-,-,-,+,-,-,-,+,+,-,+,s5,0.461095321,0.376202291,4,
-,-,-,-,-,+,-,-,-,+,+,s4,0.528953907,0.375134788,3,
-,-,-,+,-,-,+,-,+,+,-,s5,0.650221205,0.373902412,4,
-,-,-,-,+,-,-,+,-,+,+,s6,0.699991582,0.373338507,4,
-,-,-,-,-,-,-,+,-,-,+,s3,0.525108915,0.371718134,2,
+,-,-,-,-,-,-,-,-,-,-,s9,0.632071707,0.370584318,1,
-,-,-,-,-,-,+,-,-,+,-,s8,0.335886985,0.369830832,2,
-,-,-,+,-,-,+,-,-,-,+,s5,0.619051294,0.368798705,3,
-,-,+,-,-,+,+,-,-,-,-,s4,0.596608837,0.368586542,3,
-,-,-,+,+,-,+,-,-,-,+,s5,0.620228771,0.367598118,4,
-,-,+,-,+,-,+,-,-,-,-,s5,0.758422625,0.366620828,3,
-,-,-,-,+,+,-,-,+,-,-,s9,0.476540095,0.365864514,3,
-,-,-,+,+,-,+,-,-,+,-,s7,0.932808027,0.365395499,4,
-,-,-,-,+,+,-,-,-,-,+,s7,0.68620228,0.364411011,3,
-,-,-,-,-,-,-,-,+,+,+,s7,0.639817065,0.362119914,3,
-,-,-,-,-,-,+,-,+,-,+,s4,0.62380293,0.361369237,3,
-,-,-,+,-,-,+,+,+,-,-,s9,0.79813827,0.360308557,4,
-,-,-,-,+,-,-,+,-,-,-,s3,0.705003278,0.357724578,2,
-,+,-,+,-,-,-,-,-,-,-,s5,0.747774097,0.357610157,2,
-,-,-,-,+,-,-,+,-,-,+,s6,0.6770924,0.35595373,3,
-,-,+,-,-,-,-,-,-,+,+,s8,0.718309335,0.352124018,3,
-,-,-,-,-,+,+,+,-,+,+,s4,0.590407992,0.350286717,5,
-,-,-,-,-,+,+,+,+,-,-,s4,0.51614158,0.349403676,4,
-,-,-,-,-,+,-,+,-,-,-,s8,0.616624704,0.348865015,2,
-,-,+,-,+,-,-,+,-,-,-,s8,0.687506819,0.348749541,3,
-,-,-,-,+,+,-,+,+,-,-,s3,0.843747727,0.347640349,4,
-,-,+,-,+,-,-,-,+,-,-,s9,0.638279803,0.347431138,3,
-,-,-,-,-,-,-,-,-,+,-,s0,0.709790583,0.34604627,1,
-,+,-,-,-,-,-,-,-,-,-,s3,0.683229801,0.344713259,1,
-,-,+,-,-,-,-,+,+,-,-,s9,0.700273084,0.344465362,3,
-,-,-,-,+,-,+,-,+,-,+,s5,0.604624135,0.342075484,4,
-,-,+,-,-,-,-,+,-,-,-,s5,0.518338716,0.341366945,2,
-,-,-,-,-,-,-,-,-,-,+,s9,0.529018274,0.341091307,1,
-,-,+,-,-,-,+,+,-,-,-,s5,0.580654734,0.341012617,3,
-,-,-,-,-,+,-,-,+,-,+,s2,0.796267917,0.339146712,3,
-,-,-,+,+,-,-,-,+,-,+,s5,0.479875587,0.338310501,4,
-,-,-,+,-,-,+,-,-,+,-,s5,0.457953161,0.338079583,3,
-,-,-,-,+,-,-,-,+,-,-,s3,0.741364383,0.338039534,2,
-,-,+,+,-,-,-,-,-,-,+,s9,0.599564673,0.336121331,3,
-,-,-,+,-,-,-,+,-,-,+,s2,0.640809334,0.336094113,3,
-,-,-,-,-,+,-,+,+,-,+,s4,0.705087693,0.335986895,4,
-,-,-,-,-,+,-,-,+,-,+,s9,0.65622122,0.33595162,3,
-,-,-,-,+,-,+,+,-,-,+,s3,0.559234817,0.335868192,4,
-,-,-,-,-,+,-,+,-,-,+,s3,0.472990131,0.334860534,3,
-,-,-,-,+,-,+,-,-,-,-,s2,0.538816187,0.334395989,2,
-,-,-,+,-,+,-,+,+,-,-,s6,0.744852531,0.334388063,4,
-,-,-,-,-,-,-,-,+,-,+,s9,0.646452495,0.333912014,2,
-,-,-,+,-,-,+,-,-,+,-,s4,0.672177708,0.333258707,3,
-,-,-,-,+,+,-,+,-,-,+,s6,0.770094491,0.3332232,4,
-,-,-,+,-,-,-,+,-,+,+,s4,0.685879153,0.332690467,4,
-,-,-,+,-,-,-,-,+,+,+,s6,0.650202801,0.332036217,4,
-,-,-,-,-,-,+,+,+,+,+,s5,0.842091029,0.331506524,5,
-,-,-,-,-,-,-,+,+,-,+,s9,0.563301399,0.33136625,3,
-,+,-,-,-,+,-,-,-,-,-,s6,0.644337661,0.330608357,2,
-,-,-,+,+,-,+,+,-,-,-,s5,0.537411819,0.329022233,4,
-,-,-,+,-,+,+,-,-,-,+,s4,0.812946151,0.328260166,4,
-,-,-,+,-,-,-,-,+,+,-,s7,0.552926103,0.328237745,3,
-,-,-,-,-,-,-,-,-,-,+,s0,0.636389429,0.326725226,1,
-,-,+,-,-,+,-,-,-,-,+,s3,0.590497979,0.324982307,3,
-,-,-,+,-,-,+,+,-,-,+,s5,0.706622755,0.324453442,4,
-,-,+,-,+,-,-,-,-,+,-,s7,0.930920604,0.324197325,3,
-,-,-,-,+,-,-,+,+,+,+,s5,0.621418655,0.32380045,5,
-,-,-,-,+,-,+,-,+,-,-,s2,0.810028889,0.323218081,3,
-,-,-,-,-,+,+,-,+,+,+,s7,0.682640865,0.32270959,5,
-,-,-,+,-,-,-,+,-,-,+,s5,0.776336199,0.322639013,3,
-,-,-,+,-,-,-,-,-,-,+,s6,0.75812171,0.322530515,2,
-,-,-,-,-,-,-,+,-,-,-,s8,0.911792665,0.322321127,1,
-,-,+,-,-,-,-,+,-,+,-,s5,0.722204725,0.321193428,3,
-,-,-,-,-,+,+,-,-,-,+,s2,0.683752455,0.32024052,3,
-,-,-,+,-,-,-,+,-,+,+,s6,0.499934198,0.319788524,4,
-,-,-,-,+,-,+,+,-,-,-,s2,0.795356772,0.319661943,3,
-,-,-,+,+,+,-,-,-,-,+,s9,0.683441685,0.319430201,4,
-,-,-,-,-,+,-,-,-,+,+,s6,0.775063332,0.318934696,3,
-,-,-,+,-,-,+,-,-,-,+,s2,0.751103359,0.318530054,3,
-,-,-,-,+,+,-,-,+,-,+,s6,0.705742315,0.318158155,4,
-,-,-,-,+,-,+,+,-,-,+,s8,0.881216285,0.31611297,4,
-,-,-,-,+,-,+,-,-,+,-,s7,0.992547497,0.315123575,3,
-,-,-,+,-,+,-,-,-,+,+,s7,0.769451041,0.315069992,4,
-,-,-,+,-,-,-,+,-,-,+,s9,0.767841054,0.314205794,3,
-,-,+,-,+,+,-,-,-,-,-,s6,0.72691049,0.312553539,3,
-,-,-,+,-,+,-,-,-,-,+,s6,0.759019208,0.311729409,3,
-,-,-,-,-,-,+,-,+,+,+,s4,0.687494562,0.310795643,4,
-,-,-,-,+,+,+,-,+,-,+,s7,0.818903386,0.310593654,5,
-,-,-,-,-,-,+,+,-,-,+,s5,0.664703985,0.309627649,3,
-,-,-,-,+,+,+,-,-,-,+,s8,0.865529353,0.308857444,4,
-,-,+,-,-,-,-,-,-,+,-,s7,0.729946871,0.308314455,2,
-,-,-,-,-,+,+,-,-,-,+,s7,0.603101399,0.308155721,3,
-,+,-,-,-,-,+,-,-,-,-,s2,0.840153641,0.307948456,2,
-,+,-,-,-,-,-,-,-,-,+,s0,0.623787076,0.307635073,2,
-,-,-,+,-,+,-,-,+,-,-,s7,0.611569801,0.30618258,3,
-,-,-,+,+,+,-,-,-,-,+,s6,0.77310474,0.305779603,4,
-,-,-,-,+,-,-,-,-,-,+,s9,0.60899716,0.304928643,2,
-,-,-,-,-,+,-,-,-,-,+,s8,0.529644111,0.304927599,2,
-,-,-,-,-,+,+,+,+,-,+,s4,0.788052612,0.302230019,5,
-,-,+,-,-,-,-,+,-,-,-,s9,0.839463866,0.302215587,2,
-,-,-,-,+,-,+,-,-,+,-,s5,0.605807445,0.301409305,3,
-,-,-,+,+,+,-,-,-,-,+,s7,0.588673009,0.300310748,4,
-,-,-,-,-,-,-,+,+,+,+,s4,0.768738785,0.299544288,4,
-,-,-,+,-,-,+,-,+,-,+,s9,0.562403237,0.299509298,4,
-,-,-,-,+,+,-,-,-,-,+,s9,0.52344423,0.297145199,3,
-,-,-,-,-,-,-,-,-,+,+,s0,0.763081075,0.296947963,2,
-,-,-,+,+,-,+,-,-,-,+,s8,0.867310081,0.296534692,4,
-,-,-,-,+,-,+,-,-,-,+,s3,0.615571062,0.296320441,3,
-,-,+,+,-,-,-,-,-,-,+,s4,0.662018646,0.292593355,3,
-,-,-,+,-,-,+,-,-,+,+,s5,0.771218498,0.291380731,4,
-,-,+,+,-,-,-,-,-,+,-,s5,0.899783667,0.291311751,3,
-,-,-,-,-,-,+,-,+,+,+,s7,0.665590939,0.290867688,4,
-,-,-,-,-,-,+,+,-,-,+,s4,0.843584954,0.2907907,3,
-,-,+,-,-,+,-,-,-,-,-,s6,0.807993086,0.289998592,2,
-,+,-,-,-,-,-,-,-,+,-,s3,0.681935441,0.288440522,2,
-,-,-,-,-,-,-,+,-,+,-,s8,0.519408737,0.288145331,2,
-,-,-,-,-,-,+,-,+,-,+,s2,0.539582858,0.287788282,3,
-,-,-,+,+,-,+,-,-,-,-,s8,0.752180255,0.287486723,3,
-,-,+,-,-,+,-,-,-,+,-,s6,0.749751361,0.287300172,3,
-,-,+,-,-,+,+,-,-,-,-,s3,0.61954552,0.287237216,3,
-,-,-,-,-,+,+,-,+,-,+,s3,0.741344408,0.286592661,4,
-,-,-,-,+,+,-,-,+,+,+,s7,0.670001655,0.286168434,5,
-,-,-,-,-,-,+,-,+,+,-,s7,0.886322705,0.285991624,3,
