s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,qc,c1,c2,c3,pred,mse,score,numPredictors
n,n,n,n,n,n,n,n,y,n,n,n,n,n,s0,0.664595098,0.280026839,1
n,n,n,n,n,n,n,n,y,n,n,n,n,n,s1,0.915336693,-0.007303649,1
n,n,n,n,n,n,n,n,y,n,n,n,n,n,s2,1.069135354,-0.016914313,1
n,n,n,n,n,n,n,n,y,n,n,n,n,n,s3,0.75426067,0.137779781,1
n,n,n,n,n,n,n,n,y,n,n,n,n,n,s4,0.967662515,-0.019523588,1
n,n,n,n,n,n,n,n,y,n,n,n,n,n,s5,0.712480326,-0.048685994,1
n,n,n,n,n,n,n,n,y,n,n,n,n,n,s6,0.736734943,0.025441482,1
n,n,n,n,n,n,n,n,y,n,n,n,n,n,s7,0.832890214,0.200636873,1
n,n,n,n,n,n,n,n,y,n,n,n,n,n,s9,0.606802838,0.286155034,1
n,n,n,n,n,n,n,n,y,n,n,n,n,n,qc,1.054614673,-0.022388036,1
n,n,n,n,n,n,n,n,y,n,n,n,n,n,c1,0.627276185,0.324793995,1
n,n,n,n,n,n,n,n,y,n,n,n,n,n,c2,0.800378383,0.216226144,1
n,n,n,n,n,n,n,n,y,n,n,n,n,n,c3,1.032599122,0.047372825,1
n,n,n,n,n,n,n,n,n,y,n,n,n,n,s0,0.618681018,0.318187523,1
n,n,n,n,n,n,n,n,n,y,n,n,n,n,s1,1.024400011,0.11688418,1
n,n,n,n,n,n,n,n,n,y,n,n,n,n,s2,1.237503185,-0.054682931,1
n,n,n,n,n,n,n,n,n,y,n,n,n,n,s3,1.130002323,0.016113367,1
n,n,n,n,n,n,n,n,n,y,n,n,n,n,s4,0.848253392,-0.257116607,1
n,n,n,n,n,n,n,n,n,y,n,n,n,n,s5,0.788412184,0.118679329,1
n,n,n,n,n,n,n,n,n,y,n,n,n,n,s6,1.353089428,-0.199701247,1
n,n,n,n,n,n,n,n,n,y,n,n,n,n,s7,0.887794169,0.147943017,1
n,n,n,n,n,n,n,n,n,y,n,n,n,n,s8,0.326039723,0.621025436,1
n,n,n,n,n,n,n,n,n,y,n,n,n,n,qc,1.16724526,-0.088632073,1
n,n,n,n,n,n,n,n,n,y,n,n,n,n,c1,0.280939069,0.719194926,1
n,n,n,n,n,n,n,n,n,y,n,n,n,n,c2,0.923404801,0.182245298,1
n,n,n,n,n,n,n,n,n,y,n,n,n,n,c3,0.851693866,0.165914697,1
n,n,n,n,n,n,n,n,n,n,y,n,n,n,s0,0.639879355,0.182695934,1
n,n,n,n,n,n,n,n,n,n,y,n,n,n,s1,1.02514551,0.047459475,1
n,n,n,n,n,n,n,n,n,n,y,n,n,n,s2,0.729562502,0.314100718,1
n,n,n,n,n,n,n,n,n,n,y,n,n,n,s3,0.898717378,-0.49174095,1
n,n,n,n,n,n,n,n,n,n,y,n,n,n,s4,0.531257769,0.471086178,1
n,n,n,n,n,n,n,n,n,n,y,n,n,n,s5,1.236031729,0.174205276,1
n,n,n,n,n,n,n,n,n,n,y,n,n,n,s6,0.75115518,0.137046516,1
n,n,n,n,n,n,n,n,n,n,y,n,n,n,s7,1.380579139,-0.941076334,1
n,n,n,n,n,n,n,n,n,n,y,n,n,n,s8,1.950610863,-0.597201964,1
n,n,n,n,n,n,n,n,n,n,y,n,n,n,s9,0.706713904,0.401239745,1
n,n,n,n,n,n,n,n,n,n,y,n,n,n,c1,0.81806461,0.219492587,1
n,n,n,n,n,n,n,n,n,n,y,n,n,n,c2,0.718681402,0.085096727,1
n,n,n,n,n,n,n,n,n,n,y,n,n,n,c3,0.969684067,-0.10225617,1
n,n,n,n,n,n,n,n,n,n,n,n,y,n,s0,0.599334523,0.421775839,1
n,n,n,n,n,n,n,n,n,n,n,n,y,n,s1,0.932123443,0.12853874,1
n,n,n,n,n,n,n,n,n,n,n,n,y,n,s2,0.674549794,0.378635853,1
n,n,n,n,n,n,n,n,n,n,n,n,y,n,s3,0.736802026,0.255012739,1
n,n,n,n,n,n,n,n,n,n,n,n,y,n,s4,0.815858469,0.298739965,1
n,n,n,n,n,n,n,n,n,n,n,n,y,n,s5,0.642584746,0.215278485,1
n,n,n,n,n,n,n,n,n,n,n,n,y,n,s6,0.895229957,0.291374759,1
n,n,n,n,n,n,n,n,n,n,n,n,y,n,s7,0.853831265,0.262312747,1
n,n,n,n,n,n,n,n,n,n,n,n,y,n,s8,0.635013926,0.026101034,1
n,n,n,n,n,n,n,n,n,n,n,n,y,n,s9,0.797498363,0.178990926,1
n,n,n,n,n,n,n,n,n,n,n,n,y,n,qc,1.146227698,-0.003720399,1
n,n,n,n,n,n,n,n,n,n,n,n,y,n,c1,0.702609336,0.297725775,1
n,n,n,n,n,n,n,n,n,n,n,n,y,n,c3,0.808356913,0.208355669,1
n,n,n,n,n,n,n,n,n,n,n,n,n,y,s0,1.0663951,0.017494638,1
n,n,n,n,n,n,n,n,n,n,n,n,n,y,s1,1.154143777,0.00503454,1
n,n,n,n,n,n,n,n,n,n,n,n,n,y,s2,0.596655183,0.399158849,1
n,n,n,n,n,n,n,n,n,n,n,n,n,y,s3,1.102480557,-0.133080884,1
n,n,n,n,n,n,n,n,n,n,n,n,n,y,s4,0.873460649,0.081271031,1
n,n,n,n,n,n,n,n,n,n,n,n,n,y,s5,0.896445936,0.043197573,1
n,n,n,n,n,n,n,n,n,n,n,n,n,y,s6,0.776641954,0.082049513,1
n,n,n,n,n,n,n,n,n,n,n,n,n,y,s7,0.986864135,-0.023578965,1
n,n,n,n,n,n,n,n,n,n,n,n,n,y,s8,0.834488555,0.030026363,1
n,n,n,n,n,n,n,n,n,n,n,n,n,y,s9,0.880463586,-0.1755933,1
n,n,n,n,n,n,n,n,n,n,n,n,n,y,qc,0.778546063,-0.04153041,1
n,n,n,n,n,n,n,n,n,n,n,n,n,y,c1,0.674291622,0.30321869,1
n,n,n,n,n,n,n,n,n,n,n,n,n,y,c2,1.03117532,-0.009782715,1
y,n,n,n,n,n,n,n,n,n,y,n,n,n,s1,0.970089687,0.127217197,2
n,y,y,n,n,n,n,n,n,n,n,n,n,n,s3,0.852228074,-0.083797823,2
n,y,y,n,n,n,n,n,n,n,n,n,n,n,s4,1.103058534,-0.069321773,2
n,y,y,n,n,n,n,n,n,n,n,n,n,n,s5,1.001684541,0.104219534,2
n,y,y,n,n,n,n,n,n,n,n,n,n,n,s6,0.685677253,0.305262026,2
n,y,y,n,n,n,n,n,n,n,n,n,n,n,s7,1.475233234,-0.180333537,2
n,y,y,n,n,n,n,n,n,n,n,n,n,n,s8,1.091588427,-0.140219317,2
n,y,y,n,n,n,n,n,n,n,n,n,n,n,s9,0.804151554,0.120257382,2
n,y,y,n,n,n,n,n,n,n,n,n,n,n,qc,1.448419908,-0.31908083,2
n,y,y,n,n,n,n,n,n,n,n,n,n,n,c1,0.899056664,0.163603989,2
n,y,y,n,n,n,n,n,n,n,n,n,n,n,c2,0.740375425,0.27498429,2
n,y,y,n,n,n,n,n,n,n,n,n,n,n,c3,0.790417168,0.101519527,2
n,y,n,y,n,n,n,n,n,n,n,n,n,n,s2,1.404895651,-0.468556898,2
n,y,n,y,n,n,n,n,n,n,n,n,n,n,s4,0.8264392,0.06143975,2
n,y,n,y,n,n,n,n,n,n,n,n,n,n,s5,1.009620787,0.065486256,2
n,y,n,y,n,n,n,n,n,n,n,n,n,n,s6,1.238597039,-0.402210753,2
n,y,n,y,n,n,n,n,n,n,n,n,n,n,s7,0.578524234,-0.505815097,2
n,y,n,y,n,n,n,n,n,n,n,n,n,n,s8,0.721871634,0.149415766,2
n,y,n,y,n,n,n,n,n,n,n,n,n,n,s9,0.599436237,0.11170352,2
n,y,n,y,n,n,n,n,n,n,n,n,n,n,qc,1.024247418,-0.152511151,2
n,y,n,y,n,n,n,n,n,n,n,n,n,n,c1,0.792665401,0.228381028,2
n,y,n,y,n,n,n,n,n,n,n,n,n,n,c2,0.849049134,0.126573448,2
n,y,n,y,n,n,n,n,n,n,n,n,n,n,c3,1.422060867,-0.347067065,2
n,y,n,n,y,n,n,n,n,n,n,n,n,n,s2,0.8718513,0.194906843,2
n,y,n,n,y,n,n,n,n,n,n,n,n,n,s3,0.689683918,0.10060771,2
n,y,n,n,y,n,n,n,n,n,n,n,n,n,s5,1.46726976,-0.455413571,2
n,y,n,n,y,n,n,n,n,n,n,n,n,n,s6,0.498185569,0.439872025,2
n,y,n,n,y,n,n,n,n,n,n,n,n,n,s7,0.923696032,0.040729542,2
n,y,n,n,y,n,n,n,n,n,n,n,n,n,s8,1.115941324,-0.076886754,2
n,y,n,n,y,n,n,n,n,n,n,n,n,n,s9,1.277477317,-0.16195725,2
n,y,n,n,y,n,n,n,n,n,n,n,n,n,qc,1.571373636,-0.428825249,2
n,y,n,n,y,n,n,n,n,n,n,n,n,n,c1,1.236901419,-0.15389071,2
n,y,n,n,y,n,n,n,n,n,n,n,n,n,c2,0.773524035,0.094510702,2
n,y,n,n,y,n,n,n,n,n,n,n,n,n,c3,0.8474172,0.135523901,2
n,y,n,n,n,y,n,n,n,n,n,n,n,n,s2,0.828526395,0.060925783,2
n,y,n,n,n,y,n,n,n,n,n,n,n,n,s3,1.07075194,-0.018793135,2
n,y,n,n,n,y,n,n,n,n,n,n,n,n,s4,1.006141497,0.107866241,2
n,y,n,n,n,y,n,n,n,n,n,n,n,n,s6,0.691558907,0.392311882,2
n,y,n,n,n,y,n,n,n,n,n,n,n,n,s7,0.628435333,0.178235979,2
n,y,n,n,n,y,n,n,n,n,n,n,n,n,s8,1.026212756,-0.071931122,2
n,y,n,n,n,y,n,n,n,n,n,n,n,n,s9,0.986407783,0.06256424,2
n,y,n,n,n,y,n,n,n,n,n,n,n,n,qc,1.018307717,0.10193359,2
n,y,n,n,n,y,n,n,n,n,n,n,n,n,c1,0.920667122,0.079771992,2
n,y,n,n,n,y,n,n,n,n,n,n,n,n,c2,0.740039404,0.238713004,2
n,y,n,n,n,y,n,n,n,n,n,n,n,n,c3,1.133024229,-0.21420791,2
n,y,n,n,n,n,y,n,n,n,n,n,n,n,s2,0.97763192,-0.025948776,2
n,y,n,n,n,n,y,n,n,n,n,n,n,n,s3,0.894296685,0.235709047,2
n,y,n,n,n,n,y,n,n,n,n,n,n,n,s4,0.993486701,-0.061600149,2
n,y,n,n,n,n,y,n,n,n,n,n,n,n,s5,0.788825919,0.169977696,2
n,y,n,n,n,n,y,n,n,n,n,n,n,n,s7,1.2299827,0.160445043,2
n,y,n,n,n,n,y,n,n,n,n,n,n,n,s8,1.251991285,-1.261094575,2
n,y,n,n,n,n,y,n,n,n,n,n,n,n,s9,0.941822434,-0.173069098,2
n,y,n,n,n,n,y,n,n,n,n,n,n,n,qc,1.345499723,-0.273773834,2
n,y,n,n,n,n,y,n,n,n,n,n,n,n,c1,0.664965507,0.248074594,2
n,y,n,n,n,n,y,n,n,n,n,n,n,n,c2,0.57127083,0.272754866,2
n,y,n,n,n,n,y,n,n,n,n,n,n,n,c3,0.65550202,0.200637378,2
n,y,n,n,n,n,n,y,n,n,n,n,n,n,s2,0.659463548,0.32867574,2
n,y,n,n,n,n,n,y,n,n,n,n,n,n,s3,0.83848201,0.127629357,2
n,y,n,n,n,n,n,y,n,n,n,n,n,n,s4,1.110412797,0.095575942,2
n,y,n,n,n,n,n,y,n,n,n,n,n,n,s5,0.585085989,0.379479626,2
n,y,n,n,n,n,n,y,n,n,n,n,n,n,s6,1.316391027,-0.026585549,2
n,y,n,n,n,n,n,y,n,n,n,n,n,n,s8,0.486745954,0.430803682,2
n,y,n,n,n,n,n,y,n,n,n,n,n,n,s9,0.878168025,-0.408618423,2
n,y,n,n,n,n,n,y,n,n,n,n,n,n,qc,1.323490663,-0.280772564,2
n,y,n,n,n,n,n,y,n,n,n,n,n,n,c1,1.036896216,-0.172494814,2
n,y,n,n,n,n,n,y,n,n,n,n,n,n,c2,0.776590463,0.152608627,2
n,y,n,n,n,n,n,y,n,n,n,n,n,n,c3,1.253313774,-0.108071084,2
n,y,n,n,n,n,n,n,y,n,n,n,n,n,s2,1.046089898,-0.059709583,2
n,y,n,n,n,n,n,n,y,n,n,n,n,n,s3,1.059241894,0.233451107,2
n,y,n,n,n,n,n,n,y,n,n,n,n,n,s4,1.017284536,0.008205271,2
n,y,n,n,n,n,n,n,y,n,n,n,n,n,s5,0.904703838,0.064232714,2
n,y,n,n,n,n,n,n,y,n,n,n,n,n,s6,1.237172266,-0.170006083,2
n,y,n,n,n,n,n,n,y,n,n,n,n,n,s7,1.307729185,-0.342834448,2
n,y,n,n,n,n,n,n,y,n,n,n,n,n,s9,0.373073028,0.588443898,2
n,y,n,n,n,n,n,n,y,n,n,n,n,n,qc,1.557128796,-0.24375554,2
n,y,n,n,n,n,n,n,y,n,n,n,n,n,c1,0.798041761,0.175341105,2
n,y,n,n,n,n,n,n,y,n,n,n,n,n,c2,0.843234688,0.207288572,2
n,y,n,n,n,n,n,n,y,n,n,n,n,n,c3,0.91433507,0.173252245,2
n,y,n,n,n,n,n,n,n,y,n,n,n,n,s2,1.393571042,-0.65267373,2
n,y,n,n,n,n,n,n,n,y,n,n,n,n,s3,0.691147078,0.368745751,2
n,y,n,n,n,n,n,n,n,y,n,n,n,n,s4,0.889487969,-0.079941526,2
n,y,n,n,n,n,n,n,n,y,n,n,n,n,s5,0.923657725,0.009414005,2
n,y,n,n,n,n,n,n,n,y,n,n,n,n,s6,1.48479896,-0.397920404,2
n,y,n,n,n,n,n,n,n,y,n,n,n,n,s7,1.119214148,0.11824107,2
n,y,n,n,n,n,n,n,n,y,n,n,n,n,s8,0.654716885,0.498439223,2
n,y,n,n,n,n,n,n,n,y,n,n,n,n,qc,0.764838096,0.032212678,2
n,y,n,n,n,n,n,n,n,y,n,n,n,n,c1,0.296913829,0.703227785,2
n,y,n,n,n,n,n,n,n,y,n,n,n,n,c2,0.621221922,0.32214195,2
n,y,n,n,n,n,n,n,n,y,n,n,n,n,c3,0.729632945,0.255679207,2
n,y,n,n,n,n,n,n,n,n,y,n,n,n,s0,0.737136864,0.32085123,2
n,y,n,n,n,n,n,n,n,n,y,n,n,n,s2,0.967488654,0.26612955,2
n,y,n,n,n,n,n,n,n,n,y,n,n,n,s3,0.617286491,0.290404727,2
n,y,n,n,n,n,n,n,n,n,y,n,n,n,s4,0.651404949,0.414400153,2
n,y,n,n,n,n,n,n,n,n,y,n,n,n,s5,1.411319521,-0.042851984,2
n,y,n,n,n,n,n,n,n,n,y,n,n,n,s6,1.302926098,-0.393803479,2
n,y,n,n,n,n,n,n,n,n,y,n,n,n,s7,1.431604247,0.002120399,2
n,y,n,n,n,n,n,n,n,n,y,n,n,n,s8,0.612217574,0.357904693,2
n,y,n,n,n,n,n,n,n,n,y,n,n,n,s9,0.603145625,0.407834168,2
n,y,n,n,n,n,n,n,n,n,y,n,n,n,c1,0.745861015,0.306122515,2
n,y,n,n,n,n,n,n,n,n,y,n,n,n,c2,0.745754893,0.269716423,2
n,y,n,n,n,n,n,n,n,n,y,n,n,n,c3,0.62298809,0.364470872,2
n,y,n,n,n,n,n,n,n,n,n,n,y,n,s2,0.830506532,0.203165143,2
n,y,n,n,n,n,n,n,n,n,n,n,y,n,s3,0.75291291,-0.054647331,2
n,y,n,n,n,n,n,n,n,n,n,n,y,n,s4,0.906492268,0.167573815,2
n,y,n,n,n,n,n,n,n,n,n,n,y,n,s5,0.848336431,0.192050024,2
n,y,n,n,n,n,n,n,n,n,n,n,y,n,s6,0.756569556,0.243300667,2
n,y,n,n,n,n,n,n,n,n,n,n,y,n,s7,0.823509226,0.288510174,2
n,y,n,n,n,n,n,n,n,n,n,n,y,n,s8,0.784806183,-0.243093471,2
n,y,n,n,n,n,n,n,n,n,n,n,y,n,s9,0.927235517,-0.057272151,2
n,y,n,n,n,n,n,n,n,n,n,n,y,n,qc,0.899032724,0.126308161,2
n,y,n,n,n,n,n,n,n,n,n,n,y,n,c1,0.701792699,0.347119445,2
n,y,n,n,n,n,n,n,n,n,n,n,y,n,c3,1.086073182,-0.028798027,2
n,y,n,n,n,n,n,n,n,n,n,n,n,y,s2,0.626659667,0.062257651,2
n,y,n,n,n,n,n,n,n,n,n,n,n,y,s3,1.081800984,-0.007931721,2
n,y,n,n,n,n,n,n,n,n,n,n,n,y,s4,0.939046374,0.058618223,2
n,y,n,n,n,n,n,n,n,n,n,n,n,y,s5,0.786384393,-0.068910521,2
n,y,n,n,n,n,n,n,n,n,n,n,n,y,s6,0.66535101,0.178740345,2
n,y,n,n,n,n,n,n,n,n,n,n,n,y,s7,0.590585333,0.100448419,2
n,y,n,n,n,n,n,n,n,n,n,n,n,y,s8,0.700088271,0.217997937,2
n,y,n,n,n,n,n,n,n,n,n,n,n,y,s9,0.727517273,0.198183351,2
n,y,n,n,n,n,n,n,n,n,n,n,n,y,qc,1.265097502,-0.404234695,2
