s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,qc,c1,c2,c3,pred,mse,score
n,n,n,n,n,n,n,n,n,y,n,n,n,n,s4,1.217002484146751,-0.03470827627994555
n,n,n,n,n,n,n,n,n,y,n,n,n,n,s5,0.8967808581231843,0.14631684637594666
n,n,n,n,n,n,n,n,n,y,n,n,n,n,s6,0.9872295605647115,-0.056087523277227325
n,n,n,n,n,n,n,n,n,y,n,n,n,n,s7,0.9098805577220456,-0.712537625720183
n,n,n,n,n,n,n,n,n,y,n,n,n,n,s8,0.4306886838216421,0.6267843918390534
n,n,n,n,n,n,n,n,n,y,n,n,n,n,qc,0.7122945572251616,-0.10145219827760754
n,n,n,n,n,n,n,n,n,y,n,n,n,n,c1,0.913305580913829,-0.02480582300226608
n,n,n,n,n,n,n,n,n,y,n,n,n,n,c2,1.0937906321176831,-0.02888822112391432
n,n,n,n,n,n,n,n,n,y,n,n,n,n,c3,1.710790506351442,-0.11218278443913765
n,n,n,n,n,n,n,n,n,n,y,n,n,n,s0,0.9672630606098394,0.1088282914872678
n,n,n,n,n,n,n,n,n,n,y,n,n,n,s1,1.0778218576099932,-0.12602325230308176
n,n,n,n,n,n,n,n,n,n,y,n,n,n,s2,0.6840340323091872,0.239003513663952
n,n,n,n,n,n,n,n,n,n,y,n,n,n,s3,0.6517855702985424,0.06511747089791764
n,n,n,n,n,n,n,n,n,n,y,n,n,n,s4,0.4470685566873803,0.4922787105220642
n,n,n,n,n,n,n,n,n,n,y,n,n,n,s5,0.9107357916176195,0.22655062361749634
n,n,n,n,n,n,n,n,n,n,y,n,n,n,s6,1.3827094434366964,-0.06258678730884348
n,n,n,n,n,n,n,n,n,n,y,n,n,n,s7,0.9062166891562529,-0.24020865515985124
n,n,n,n,n,n,n,n,n,n,y,n,n,n,s8,1.182052421994446,-0.0825687389360259
n,n,n,n,n,n,n,n,n,n,y,n,n,n,s9,0.9287043922126011,0.03975274233267756
n,n,n,n,n,n,n,n,n,n,y,n,n,n,c1,1.4452283702954067,-0.6216680160487806
n,n,n,n,n,n,n,n,n,n,y,n,n,n,c2,1.6979291015742122,-0.43336562556277536
n,n,n,n,n,n,n,n,n,n,y,n,n,n,c3,1.999958073235977,-0.563799253657975
n,n,n,n,n,n,n,n,n,n,n,y,n,n,s0,1.292279313554565,-0.02438579126556184
n,n,n,n,n,n,n,n,n,n,n,y,n,n,s1,0.9146501726562871,-0.004720279799916849
n,n,n,n,n,n,n,n,n,n,n,y,n,n,s2,1.0821587100523038,-0.0027652719223696387
n,n,n,n,n,n,n,n,n,n,n,y,n,n,s3,1.0471283507789308,0.043612797272951864
n,n,n,n,n,n,n,n,n,n,n,y,n,n,s4,1.1436478370971674,-0.01597503343523643
n,n,n,n,n,n,n,n,n,n,n,y,n,n,s5,1.1406553047245604,0.04938516847087115
n,n,n,n,n,n,n,n,n,n,n,y,n,n,s6,1.0461116861816948,-0.031613699095079495
n,n,n,n,n,n,n,n,n,n,n,y,n,n,s7,1.0239306304163136,-0.0895024591861957
n,n,n,n,n,n,n,n,n,n,n,y,n,n,s8,1.1304490108543173,-0.09088671645868596
n,n,n,n,n,n,n,n,n,n,n,y,n,n,s9,0.84361707181285,-0.2035648550773845
n,n,n,n,n,n,n,n,n,n,n,y,n,n,qc,0.9525941023756963,-0.0618962799328917
n,n,n,n,n,n,n,n,n,n,n,y,n,n,c2,0.8509190835295484,0.14130332043340654
n,n,n,n,n,n,n,n,n,n,n,y,n,n,c3,0.6249554871950916,-0.009902926240815013
n,n,n,n,n,n,n,n,n,n,n,n,y,n,s0,0.7975905022651126,-0.2775695620936769
n,n,n,n,n,n,n,n,n,n,n,n,y,n,s1,1.0427134206046151,0.0251459089786592
n,n,n,n,n,n,n,n,n,n,n,n,y,n,s2,0.8871093093834628,-0.06215636893014609
n,n,n,n,n,n,n,n,n,n,n,n,y,n,s3,0.9778302136826303,0.04946232119993332
n,n,n,n,n,n,n,n,n,n,n,n,y,n,s4,0.9424669188847217,-0.10227929937144165
n,n,n,n,n,n,n,n,n,n,n,n,y,n,s5,1.1171665272981102,0.006258751287577469
n,n,n,n,n,n,n,n,n,n,n,n,y,n,s6,1.159474285363785,-0.036124458555938155
n,n,n,n,n,n,n,n,n,n,n,n,y,n,s7,0.7763783112517816,0.003786233521783977
n,n,n,n,n,n,n,n,n,n,n,n,y,n,s8,1.0616920461573374,-0.1135052455895851
n,n,n,n,n,n,n,n,n,n,n,n,y,n,s9,1.044586958210388,0.02214871707401267
n,n,n,n,n,n,n,n,n,n,n,n,y,n,qc,1.0615828162955385,-0.03350600988399499
n,n,n,n,n,n,n,n,n,n,n,n,y,n,c1,0.9925464287465114,0.1000236512059427
n,n,n,n,n,n,n,n,n,n,n,n,y,n,c3,0.8272514182510554,-0.03209210543271257
n,n,n,n,n,n,n,n,n,n,n,n,n,y,s0,0.9878104220460805,-0.022128675309986523
n,n,n,n,n,n,n,n,n,n,n,n,n,y,s1,1.2614028808129578,-0.1309502501025197
n,n,n,n,n,n,n,n,n,n,n,n,n,y,s2,1.0275899212757085,-0.07837581771377278
n,n,n,n,n,n,n,n,n,n,n,n,n,y,s3,1.1394716827936715,-0.05618136082392122
n,n,n,n,n,n,n,n,n,n,n,n,n,y,s4,1.0572086094191129,-0.008243338696053426
n,n,n,n,n,n,n,n,n,n,n,n,n,y,s5,1.1666259812784696,-0.03773639028939613
n,n,n,n,n,n,n,n,n,n,n,n,n,y,s6,0.9981208293723188,-0.036931071342438226
n,n,n,n,n,n,n,n,n,n,n,n,n,y,s7,1.1709807697029357,0.0008978283874373494
n,n,n,n,n,n,n,n,n,n,n,n,n,y,s8,1.0186520692510221,-0.18582058120667244
n,n,n,n,n,n,n,n,n,n,n,n,n,y,s9,1.3451915365115263,-0.02354511988158703
n,n,n,n,n,n,n,n,n,n,n,n,n,y,qc,0.9763720360556926,0.036616087154867194
n,n,n,n,n,n,n,n,n,n,n,n,n,y,c1,1.1220767548040096,0.031488713416947256
n,n,n,n,n,n,n,n,n,n,n,n,n,y,c2,1.1251784695466036,0.05014164644674779
y,n,n,n,n,n,n,n,n,n,y,n,n,n,s1,0.48671186838048897,0.46568265353938365
y,n,n,n,n,n,n,n,n,n,n,y,n,n,s1,0.7204893405788771,0.2433692062669975
n,y,y,n,n,n,n,n,n,n,n,n,n,n,s3,0.8047869170489574,0.1839739290044925
n,y,y,n,n,n,n,n,n,n,n,n,n,n,s4,0.6146054335221021,0.32047777991248816
n,y,y,n,n,n,n,n,n,n,n,n,n,n,s5,1.1528952867237263,-0.04027176185722037
n,y,y,n,n,n,n,n,n,n,n,n,n,n,s6,0.8131360412686816,0.23639015906612904
n,y,y,n,n,n,n,n,n,n,n,n,n,n,s7,0.7865830821248093,0.2370678386237598
n,y,y,n,n,n,n,n,n,n,n,n,n,n,s8,1.451984925089309,-0.9350638745398508
n,y,y,n,n,n,n,n,n,n,n,n,n,n,s9,1.0370998956605149,-0.40368112897190533
n,y,y,n,n,n,n,n,n,n,n,n,n,n,qc,1.4589807977304632,-0.3475358881440447
n,y,y,n,n,n,n,n,n,n,n,n,n,n,c1,0.8933133962092389,-0.00237290708895177
n,y,y,n,n,n,n,n,n,n,n,n,n,n,c2,1.5297886878636806,-0.4390153979506757
n,y,y,n,n,n,n,n,n,n,n,n,n,n,c3,1.5118486930800217,-0.18213871056654174
n,y,n,y,n,n,n,n,n,n,n,n,n,n,s2,1.551312093046302,-0.3423310947910849
n,y,n,y,n,n,n,n,n,n,n,n,n,n,s4,0.904242268160025,-0.02136776438224941
n,y,n,y,n,n,n,n,n,n,n,n,n,n,s5,0.7072747737594596,0.24349664710072316
n,y,n,y,n,n,n,n,n,n,n,n,n,n,s6,1.3039926163374183,-0.25983197106060296
n,y,n,y,n,n,n,n,n,n,n,n,n,n,s7,0.9671094347432106,-0.01850170440324317
n,y,n,y,n,n,n,n,n,n,n,n,n,n,s8,1.1728596038098458,-0.26617635009854035
n,y,n,y,n,n,n,n,n,n,n,n,n,n,s9,1.011106548658167,0.09964405217300165
n,y,n,y,n,n,n,n,n,n,n,n,n,n,qc,1.2205531903314941,-0.23800906929706556
