u,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,qc,pred,mse,score
-,-,-,-,-,-,-,-,-,+,-,-,s7,1.025068515,0.170271934
-,-,-,-,-,-,-,-,-,+,-,-,s9,0.326604426,0.286915411
-,-,-,-,-,-,-,-,-,+,-,-,qc,1.054750593,-0.009953663
-,-,-,-,-,-,-,-,-,-,+,-,user,0.97660338,-0.039584743
-,-,-,-,-,-,-,-,-,-,+,-,s0,0.762506878,0.153664704
-,-,-,-,-,-,-,-,-,-,+,-,s1,0.904042418,0.133546272
-,-,-,-,-,-,-,-,-,-,+,-,s2,1.01138091,-0.083533873
-,-,-,-,-,-,-,-,-,-,+,-,s3,1.627425461,-0.273245267
-,-,-,-,-,-,-,-,-,-,+,-,s4,0.982599871,-0.131904635
-,-,-,-,-,-,-,-,-,-,+,-,s5,1.236449731,-0.163717158
-,-,-,-,-,-,-,-,-,-,+,-,s6,0.829773838,0.061197299
-,-,-,-,-,-,-,-,-,-,+,-,s7,0.918504729,0.278303887
-,-,-,-,-,-,-,-,-,-,+,-,s8,0.785536772,-0.177377825
-,-,-,-,-,-,-,-,-,-,+,-,qc,1.166570469,0.01311439
-,-,-,-,-,-,-,-,-,-,-,+,user,1.049735262,-0.002575834
-,-,-,-,-,-,-,-,-,-,-,+,s0,0.878424739,-0.201225719
-,-,-,-,-,-,-,-,-,-,-,+,s1,1.188992672,-0.037109961
-,-,-,-,-,-,-,-,-,-,-,+,s2,0.88857861,-0.009382709
-,-,-,-,-,-,-,-,-,-,-,+,s3,0.806453124,-0.039912369
-,-,-,-,-,-,-,-,-,-,-,+,s4,0.982948203,0.060085902
-,-,-,-,-,-,-,-,-,-,-,+,s5,1.226796901,-0.061407952
-,-,-,-,-,-,-,-,-,-,-,+,s6,1.129156213,-0.267917252
-,-,-,-,-,-,-,-,-,-,-,+,s7,1.28980802,-0.044017934
-,-,-,-,-,-,-,-,-,-,-,+,s8,0.419726686,-0.441674982
-,-,-,-,-,-,-,-,-,-,-,+,s9,1.358856008,0.052194597
+,+,-,-,-,-,-,-,-,-,-,-,s1,0.506387166,0.577074876
+,+,-,-,-,-,-,-,-,-,-,-,s2,1.076822536,-0.223218786
+,+,-,-,-,-,-,-,-,-,-,-,s3,1.107739423,-0.033839363
+,+,-,-,-,-,-,-,-,-,-,-,s4,0.572253697,0.04871374
+,+,-,-,-,-,-,-,-,-,-,-,s5,1.208679542,-0.01416376
+,+,-,-,-,-,-,-,-,-,-,-,s6,0.862743531,0.277162464
+,+,-,-,-,-,-,-,-,-,-,-,s7,0.676715011,0.092286812
+,+,-,-,-,-,-,-,-,-,-,-,s8,0.259306657,0.109334878
+,+,-,-,-,-,-,-,-,-,-,-,s9,0.86082752,0.07944384
+,+,-,-,-,-,-,-,-,-,-,-,qc,0.256678628,0.735540541
+,-,+,-,-,-,-,-,-,-,-,-,s0,0.6237511,0.421384499
+,-,+,-,-,-,-,-,-,-,-,-,s2,1.209771687,-0.269216332
+,-,+,-,-,-,-,-,-,-,-,-,s3,0.881454334,0.117421514
+,-,+,-,-,-,-,-,-,-,-,-,s4,0.508483419,0.47970596
+,-,+,-,-,-,-,-,-,-,-,-,s5,1.103036525,-0.134165853
+,-,+,-,-,-,-,-,-,-,-,-,s6,0.721108768,0.020968614
+,-,+,-,-,-,-,-,-,-,-,-,s7,1.51136747,0.156138779
+,-,+,-,-,-,-,-,-,-,-,-,s8,0.872011351,-0.123192477
+,-,+,-,-,-,-,-,-,-,-,-,s9,0.560288996,0.456313487
+,-,+,-,-,-,-,-,-,-,-,-,qc,0.128962321,0.859786096
+,-,-,+,-,-,-,-,-,-,-,-,s0,0.584988886,0.401540176
+,-,-,+,-,-,-,-,-,-,-,-,s1,0.774055445,-0.007176421
+,-,-,+,-,-,-,-,-,-,-,-,s3,0.698974416,0.378354456
+,-,-,+,-,-,-,-,-,-,-,-,s4,0.639595995,0.293352454
+,-,-,+,-,-,-,-,-,-,-,-,s5,1.122856411,0.021859452
+,-,-,+,-,-,-,-,-,-,-,-,s6,0.907147608,0.108702075
+,-,-,+,-,-,-,-,-,-,-,-,s7,0.548488026,-1.78E+32
+,-,-,+,-,-,-,-,-,-,-,-,s8,0.757235605,0.137012374
+,-,-,+,-,-,-,-,-,-,-,-,s9,0.740831843,0.348939308
+,-,-,+,-,-,-,-,-,-,-,-,qc,0.217653855,0.646922843
+,-,-,-,+,-,-,-,-,-,-,-,s0,0.687167462,0.091255102
+,-,-,-,+,-,-,-,-,-,-,-,s1,0.949668937,-0.260726683
+,-,-,-,+,-,-,-,-,-,-,-,s2,0.852122512,-0.025501998
+,-,-,-,+,-,-,-,-,-,-,-,s4,0.339766802,0.582809659
+,-,-,-,+,-,-,-,-,-,-,-,s5,0.826702289,0.133947477
+,-,-,-,+,-,-,-,-,-,-,-,s6,0.670272078,0.411168913
+,-,-,-,+,-,-,-,-,-,-,-,s7,0.153897292,0.779387277
+,-,-,-,+,-,-,-,-,-,-,-,s8,1.926545302,-0.070662252
+,-,-,-,+,-,-,-,-,-,-,-,s9,0.746811792,0.201370566
+,-,-,-,+,-,-,-,-,-,-,-,qc,0.033553893,0.964220193
+,-,-,-,-,+,-,-,-,-,-,-,s0,0.611931159,0.336416133
+,-,-,-,-,+,-,-,-,-,-,-,s1,0.801827157,0.201317485
+,-,-,-,-,+,-,-,-,-,-,-,s2,0.737170705,0.171900849
+,-,-,-,-,+,-,-,-,-,-,-,s3,0.611454723,0.487115592
+,-,-,-,-,+,-,-,-,-,-,-,s5,0.556328278,0.22322635
+,-,-,-,-,+,-,-,-,-,-,-,s6,0.741454653,0.221567708
+,-,-,-,-,+,-,-,-,-,-,-,s7,1.08737175,0.11984141
+,-,-,-,-,+,-,-,-,-,-,-,s8,1.183805803,-0.774311211
+,-,-,-,-,+,-,-,-,-,-,-,s9,0.847433703,0.234389353
+,-,-,-,-,+,-,-,-,-,-,-,qc,0.149792885,0.866424691
+,-,-,-,-,-,+,-,-,-,-,-,s0,0.482918565,0.30729973
+,-,-,-,-,-,+,-,-,-,-,-,s1,0.911271776,0.172053584
+,-,-,-,-,-,+,-,-,-,-,-,s2,1.077689466,-0.205603798
+,-,-,-,-,-,+,-,-,-,-,-,s3,0.591453782,0.187059811
+,-,-,-,-,-,+,-,-,-,-,-,s4,0.655082079,0.286457213
+,-,-,-,-,-,+,-,-,-,-,-,s6,0.538042151,0.288907037
+,-,-,-,-,-,+,-,-,-,-,-,s7,2.023544343,-0.144578313
+,-,-,-,-,-,+,-,-,-,-,-,s8,2.285460063,-0.112610619
+,-,-,-,-,-,+,-,-,-,-,-,s9,1.155649684,0.154542471
+,-,-,-,-,-,+,-,-,-,-,-,qc,0.134569378,0.849394495
+,-,-,-,-,-,-,+,-,-,-,-,s0,0.618728843,0.261062402
+,-,-,-,-,-,-,+,-,-,-,-,s1,0.927823054,0.178849783
+,-,-,-,-,-,-,+,-,-,-,-,s2,0.805277059,0.209428936
+,-,-,-,-,-,-,+,-,-,-,-,s3,0.998186219,0.117436574
+,-,-,-,-,-,-,+,-,-,-,-,s4,0.678256702,0.21868308
+,-,-,-,-,-,-,+,-,-,-,-,s5,0.556933805,0.17989507
+,-,-,-,-,-,-,+,-,-,-,-,s7,0.575134019,0.228542701
+,-,-,-,-,-,-,+,-,-,-,-,s8,2.34406625,-0.740840271
+,-,-,-,-,-,-,+,-,-,-,-,s9,0.935733755,-0.10185009
+,-,-,-,-,-,-,+,-,-,-,-,qc,0.224905303,0.787317829
+,-,-,-,-,-,-,-,+,-,-,-,s0,0.643556589,0.244719937
+,-,-,-,-,-,-,-,+,-,-,-,s1,0.737527066,-0.525333418
+,-,-,-,-,-,-,-,+,-,-,-,s2,1.043259207,-0.326484959
+,-,-,-,-,-,-,-,+,-,-,-,s3,0.520198488,0.482564807
+,-,-,-,-,-,-,-,+,-,-,-,s4,0.366914679,0.609781952
+,-,-,-,-,-,-,-,+,-,-,-,s5,0.733985635,0.33656979
+,-,-,-,-,-,-,-,+,-,-,-,s6,0.818011857,0.145696698
+,-,-,-,-,-,-,-,+,-,-,-,s8,1.486022385,-0.693553395
+,-,-,-,-,-,-,-,+,-,-,-,s9,0.633089372,0.357408192
+,-,-,-,-,-,-,-,+,-,-,-,qc,0.031684353,0.965551281
+,-,-,-,-,-,-,-,-,+,-,-,s0,0.67185552,0.418542375
+,-,-,-,-,-,-,-,-,+,-,-,s1,0.786079074,0.285798848
+,-,-,-,-,-,-,-,-,+,-,-,s2,0.607251953,0.289257375
+,-,-,-,-,-,-,-,-,+,-,-,s3,0.821067167,0.177885695
+,-,-,-,-,-,-,-,-,+,-,-,s4,0.784988354,0.273799832
+,-,-,-,-,-,-,-,-,+,-,-,s5,1.171030314,-0.607296183
+,-,-,-,-,-,-,-,-,+,-,-,s6,0.6347756,0.168420266
+,-,-,-,-,-,-,-,-,+,-,-,s7,0.655692515,0.469258421
+,-,-,-,-,-,-,-,-,+,-,-,s9,1.178437993,0.228125
+,-,-,-,-,-,-,-,-,+,-,-,qc,0.108921774,0.863017821
+,-,-,-,-,-,-,-,-,-,+,-,s0,0.686663831,0.379479438
+,-,-,-,-,-,-,-,-,-,+,-,s1,0.666246101,0.343028125
+,-,-,-,-,-,-,-,-,-,+,-,s2,0.999763403,-0.135683304
+,-,-,-,-,-,-,-,-,-,+,-,s3,0.496924538,0.430823478
+,-,-,-,-,-,-,-,-,-,+,-,s4,0.385535565,0.574047113
+,-,-,-,-,-,-,-,-,-,+,-,s5,0.90698307,0.126968345
+,-,-,-,-,-,-,-,-,-,+,-,s6,1.011638179,0.095315263
+,-,-,-,-,-,-,-,-,-,+,-,s7,0.236080173,0.808908046
+,-,-,-,-,-,-,-,-,-,+,-,s8,0.456860511,0.411541732
+,-,-,-,-,-,-,-,-,-,+,-,qc,0.651026438,0.496716462
+,-,-,-,-,-,-,-,-,-,-,+,s0,0.831831901,0.174706052
+,-,-,-,-,-,-,-,-,-,-,+,s1,1.021216901,0.23417925
+,-,-,-,-,-,-,-,-,-,-,+,s2,0.580572366,-0.068693629
+,-,-,-,-,-,-,-,-,-,-,+,s3,0.813531713,0.046511974
+,-,-,-,-,-,-,-,-,-,-,+,s4,0.901457726,0.148557519
+,-,-,-,-,-,-,-,-,-,-,+,s5,1.441548431,-1.064621374
+,-,-,-,-,-,-,-,-,-,-,+,s6,1.033909204,0.225051941
+,-,-,-,-,-,-,-,-,-,-,+,s7,0.950511807,0.230620869
+,-,-,-,-,-,-,-,-,-,-,+,s8,1.38200196,-1.071371475
+,-,-,-,-,-,-,-,-,-,-,+,s9,0.912060594,0.379326514
-,+,+,-,-,-,-,-,-,-,-,-,user,0.953334932,-0.202587302
-,+,+,-,-,-,-,-,-,-,-,-,s2,1.312400396,-0.444235694
-,+,+,-,-,-,-,-,-,-,-,-,s3,1.378341399,0.204599287
-,+,+,-,-,-,-,-,-,-,-,-,s4,0.790717668,0.15906252
-,+,+,-,-,-,-,-,-,-,-,-,s5,0.790634556,-0.170049139
-,+,+,-,-,-,-,-,-,-,-,-,s6,0.98533738,-0.114806651
-,+,+,-,-,-,-,-,-,-,-,-,s7,1.171583875,0.051677026
-,+,+,-,-,-,-,-,-,-,-,-,s8,0.748993903,-0.122606661
-,+,+,-,-,-,-,-,-,-,-,-,s9,0.737339169,-0.153327704
-,+,+,-,-,-,-,-,-,-,-,-,qc,0.600904649,-0.156211819
-,+,-,+,-,-,-,-,-,-,-,-,user,1.381583926,-0.151423765
-,+,-,+,-,-,-,-,-,-,-,-,s1,0.923355698,-0.01209271
-,+,-,+,-,-,-,-,-,-,-,-,s3,0.593197624,0.105365817
-,+,-,+,-,-,-,-,-,-,-,-,s4,0.466212987,0.536988854
-,+,-,+,-,-,-,-,-,-,-,-,s5,0.596567881,0.255828354
-,+,-,+,-,-,-,-,-,-,-,-,s6,0.877742485,0.13188213
-,+,-,+,-,-,-,-,-,-,-,-,s7,1.227552579,0.295042036
-,+,-,+,-,-,-,-,-,-,-,-,s8,1.659277695,-0.044142567
-,+,-,+,-,-,-,-,-,-,-,-,s9,1.002770654,-0.126971665
-,+,-,+,-,-,-,-,-,-,-,-,qc,1.171055503,-0.107411088
-,+,-,-,+,-,-,-,-,-,-,-,user,1.032609673,-0.102084536
-,+,-,-,+,-,-,-,-,-,-,-,s1,0.691900457,0.31081307
-,+,-,-,+,-,-,-,-,-,-,-,s2,1.377862543,-0.017299433
-,+,-,-,+,-,-,-,-,-,-,-,s4,0.869704212,0.136268711
-,+,-,-,+,-,-,-,-,-,-,-,s5,0.62703577,0.01987192
-,+,-,-,+,-,-,-,-,-,-,-,s6,0.884356225,0.125340911
-,+,-,-,+,-,-,-,-,-,-,-,s7,0.97313549,-0.394995757
-,+,-,-,+,-,-,-,-,-,-,-,s8,0.661840817,0.008020084
-,+,-,-,+,-,-,-,-,-,-,-,s9,1.126434543,-0.204592365
-,+,-,-,+,-,-,-,-,-,-,-,qc,1.264834489,-0.415560057
-,+,-,-,-,+,-,-,-,-,-,-,user,1.112433617,-0.037431109
-,+,-,-,-,+,-,-,-,-,-,-,s1,0.689717496,0.282998827
-,+,-,-,-,+,-,-,-,-,-,-,s2,0.952832944,0.130932849
-,+,-,-,-,+,-,-,-,-,-,-,s3,1.160682835,-0.05081813
-,+,-,-,-,+,-,-,-,-,-,-,s5,0.674650129,0.122746141
-,+,-,-,-,+,-,-,-,-,-,-,s6,0.72194005,0.183200003
-,+,-,-,-,+,-,-,-,-,-,-,s7,1.444796085,-0.209438021
-,+,-,-,-,+,-,-,-,-,-,-,s8,2.021683686,-0.068318207
-,+,-,-,-,+,-,-,-,-,-,-,s9,1.341274489,-0.301529843
-,+,-,-,-,+,-,-,-,-,-,-,qc,0.867425107,-0.090890984
-,+,-,-,-,-,+,-,-,-,-,-,user,1.186670712,-0.085006095
-,+,-,-,-,-,+,-,-,-,-,-,s1,1.158520892,0.166982497
-,+,-,-,-,-,+,-,-,-,-,-,s2,0.936731952,-0.39209338
-,+,-,-,-,-,+,-,-,-,-,-,s3,1.10265145,0.122564668
-,+,-,-,-,-,+,-,-,-,-,-,s4,1.033087382,-0.033592324
-,+,-,-,-,-,+,-,-,-,-,-,s6,0.598532955,0.343945256
-,+,-,-,-,-,+,-,-,-,-,-,s7,2.376262524,-0.388703437
-,+,-,-,-,-,+,-,-,-,-,-,s8,1.696121632,-1.542180162
-,+,-,-,-,-,+,-,-,-,-,-,s9,0.791320906,0.385702012
