11
u,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,qc,pred,mse,score
-,-,-,-,-,-,-,-,-,-,-,+,s3,0.7586423986661314,0.2665052042027196
-,-,-,-,-,-,-,-,-,-,-,+,s4,0.5493182903066781,0.3685305549789202
-,-,-,-,-,-,-,-,-,-,-,+,s5,0.9723468266599142,-0.038365650940340945
-,-,-,-,-,-,-,-,-,-,-,+,s6,1.0360061541206662,-0.0762895029304902
-,-,-,-,-,-,-,-,-,-,-,+,s7,1.1330146140536201,-1.2619107749858616
-,-,-,-,-,-,-,-,-,-,-,+,s8,0.8821690359713206,-0.031600495109399995
-,-,-,-,-,-,-,-,-,-,-,+,s9,0.5449163540021157,0.47328105486593847
+,+,-,-,-,-,-,-,-,-,-,-,s1,0.5648682667114173,0.3783775187332603
+,+,-,-,-,-,-,-,-,-,-,-,s2,0.9379691552732704,0.24824861876312207
+,+,-,-,-,-,-,-,-,-,-,-,s3,0.9286553671829738,0.22480224563933615
+,+,-,-,-,-,-,-,-,-,-,-,s4,0.27637707186875765,0.6653104625492279
+,+,-,-,-,-,-,-,-,-,-,-,s5,0.8232728438484747,-0.009676090476823829
+,+,-,-,-,-,-,-,-,-,-,-,s6,0.8430460742326275,0.21081201563435967
+,+,-,-,-,-,-,-,-,-,-,-,s7,1.0004049900994814,-0.11798302354456314
+,+,-,-,-,-,-,-,-,-,-,-,s8,0.9690202172234272,0.1125342877830434
+,+,-,-,-,-,-,-,-,-,-,-,s9,0.3593876968878867,0.617750896870098
+,+,-,-,-,-,-,-,-,-,-,-,qc,0.1035341281616031,0.8836189941981737
+,-,+,-,-,-,-,-,-,-,-,-,s0,0.6603670404041448,0.4810810224636876
+,-,+,-,-,-,-,-,-,-,-,-,s2,0.5416367568636812,0.3860942555115505
+,-,+,-,-,-,-,-,-,-,-,-,s3,0.7808693964121733,0.2867985121813006
+,-,+,-,-,-,-,-,-,-,-,-,s4,0.5763823828838135,0.2680739231296112
+,-,+,-,-,-,-,-,-,-,-,-,s5,1.1257792680710286,-0.21776149028446046
+,-,+,-,-,-,-,-,-,-,-,-,s6,0.8464349599320004,0.0176475592385803
+,-,+,-,-,-,-,-,-,-,-,-,s7,1.0432449209232302,-0.364183547292791
+,-,+,-,-,-,-,-,-,-,-,-,s8,1.4543957676539843,-0.11417299306243822
+,-,+,-,-,-,-,-,-,-,-,-,s9,0.6849866299035217,0.3950349434118886
+,-,+,-,-,-,-,-,-,-,-,-,qc,0.14750672360667352,0.8193005054181464
+,-,-,+,-,-,-,-,-,-,-,-,s0,0.7424365715810205,0.2837142743487292
+,-,-,+,-,-,-,-,-,-,-,-,s1,0.7664646184918532,0.19322015347996258
+,-,-,+,-,-,-,-,-,-,-,-,s3,0.45782216755406296,0.2470451183682785
+,-,-,+,-,-,-,-,-,-,-,-,s4,0.602641226606914,0.3042562161202824
+,-,-,+,-,-,-,-,-,-,-,-,s5,1.0526408960593994,-0.0194546191390077
+,-,-,+,-,-,-,-,-,-,-,-,s6,0.43553232999420904,0.36277900011011976
+,-,-,+,-,-,-,-,-,-,-,-,s7,0.6449657911163688,0.156620173114291
+,-,-,+,-,-,-,-,-,-,-,-,s8,0.5083715173774557,0.3317098261526832
+,-,-,+,-,-,-,-,-,-,-,-,s9,0.5406341744205309,0.28057404085700066
+,-,-,+,-,-,-,-,-,-,-,-,qc,0.2597554864898894,0.6177638131015728
+,-,-,-,+,-,-,-,-,-,-,-,s0,0.40970786655991503,0.4928184487348284
+,-,-,-,+,-,-,-,-,-,-,-,s1,1.1418277331105988,-0.14795158360131766
+,-,-,-,+,-,-,-,-,-,-,-,s2,1.2628023773708092,-0.25743441364059105
+,-,-,-,+,-,-,-,-,-,-,-,s4,0.6663128693209368,0.3540661380530309
+,-,-,-,+,-,-,-,-,-,-,-,s5,0.9373203871083957,-0.16376423084149505
+,-,-,-,+,-,-,-,-,-,-,-,s6,1.0655969683907676,-0.31419458433384717
+,-,-,-,+,-,-,-,-,-,-,-,s7,1.2705312440494647,-0.17549493532696148
+,-,-,-,+,-,-,-,-,-,-,-,s8,0.7910639255925256,0.24788850580002364
+,-,-,-,+,-,-,-,-,-,-,-,s9,0.734421576404482,0.10035925925925926
+,-,-,-,+,-,-,-,-,-,-,-,qc,0.12146163748689884,0.8824818697422165
+,-,-,-,-,+,-,-,-,-,-,-,s0,0.7034979549579391,0.1291326987563569
+,-,-,-,-,+,-,-,-,-,-,-,s1,0.7704643339994082,0.2841030919881973
+,-,-,-,-,+,-,-,-,-,-,-,s2,0.9432400719105385,-0.19440086460552175
+,-,-,-,-,+,-,-,-,-,-,-,s3,0.7333738153437511,0.3849534041873781
+,-,-,-,-,+,-,-,-,-,-,-,s5,0.9501431933982167,0.15595114766755147
+,-,-,-,-,+,-,-,-,-,-,-,s6,0.8271477803935061,0.29863323122088203
+,-,-,-,-,+,-,-,-,-,-,-,s7,1.5067901082374207,-0.25949032553001605
+,-,-,-,-,+,-,-,-,-,-,-,s8,0.7256422595603658,0.23894460228234204
+,-,-,-,-,+,-,-,-,-,-,-,s9,0.7879729391251098,0.2553209642243307
+,-,-,-,-,+,-,-,-,-,-,-,qc,0.28109839510103724,0.7281109865458378
+,-,-,-,-,-,+,-,-,-,-,-,s0,0.9207652279213122,0.11166688899778177
+,-,-,-,-,-,+,-,-,-,-,-,s1,1.4600746637244288,-0.2043496052589291
+,-,-,-,-,-,+,-,-,-,-,-,s2,0.9860929937075829,-0.021634531388099676
+,-,-,-,-,-,+,-,-,-,-,-,s3,0.8696012753181649,0.23354711470973347
+,-,-,-,-,-,+,-,-,-,-,-,s4,0.7091695528485396,0.33843711178041846
+,-,-,-,-,-,+,-,-,-,-,-,s6,0.4442528705332509,0.5483266428196621
+,-,-,-,-,-,+,-,-,-,-,-,s7,1.2315639578815976,0.16214697178568138
+,-,-,-,-,-,+,-,-,-,-,-,s8,1.181398069140653,-0.028358358358358645
+,-,-,-,-,-,+,-,-,-,-,-,s9,0.4364520166708094,0.2970628750188451
+,-,-,-,-,-,+,-,-,-,-,-,qc,0.3948116744761162,0.6023809371669523
